file,RT-5.p,RT-4.p,RT-3.p,RT-2.p,RT-1.p,CONTROL-5.p,CONTROL-4.p,CONTROL-3.p,CONTROL-2.p,CONTROL-1.p,RT+9H10-5.p,RT+9H10-4.p,RT+9H10-3.p,RT+9H10-2.p,RT+9H10-1.p,9H10-5.p,9H10-4.p,9H10-3.p,9H10-2.p,9H10-1.p
RT-5.p,3.057816748236514e-08,6.672434126606674e-19,1.7567736114198787e-07,3.39578089026523e-07,1.7028817404278913e-07,9.891042722895171e-15,1.7117948494761777e-15,7.50440584977344e-20,1.69789037491589e-07,5.561255752338533e-10,2.8416863957633617e-18,8.651767179219696e-14,1.492420363637347e-15,1.8581356147361246e-14,2.7470168241533975e-17,1.9019976801692087e-09,1.0853565242752146e-19,7.775443408744894e-17,5.853954554991967e-20,2.35826919864769e-17
RT-4.p,3.5283400363690013e-19,2.655327354805544e-07,5.10221749468398e-07,5.102223816140419e-07,1.1775031534512713e-11,1.997607877817545e-19,8.03751073778183e-15,1.418910494406387e-19,1.9948473078899755e-18,1.6357721319330805e-16,2.7753872561218036e-15,1.4636957716743612e-19,1.2290930541947623e-16,8.351657484566921e-19,7.80679539891215e-18,1.1034585650881823e-10,5.102312427192732e-07,2.967173706347264e-16,1.587791023015847e-16,2.2113885329467323e-17
RT-3.p,5.79060596920907e-07,5.643093551473822e-07,3.184450239244327e-07,1.1050858431363092e-17,5.643093335461416e-07,8.523904156384759e-18,2.015175681802339e-19,2.487304096334692e-16,5.4322728773885735e-15,1.3186291045623736e-15,3.8435880489120025e-13,1.5100254511940785e-15,2.429945356193879e-08,2.4486495725974446e-14,1.16463187280287e-19,1.7911194285841473e-14,1.1627678155551114e-10,1.0058454580458467e-12,1.370194371569008e-11,1.1177009578049525e-12
RT-2.p,6.220469770356544e-07,3.110241053363258e-07,1.580343745332187e-17,9.673560616651855e-08,1.4828586229170473e-18,8.518235087684394e-15,2.2598049265504604e-19,2.810263361437369e-16,6.188245984018748e-16,1.2406281126404453e-19,7.474466104123722e-15,7.63440419761984e-18,6.651197891440534e-11,6.867182566796846e-17,9.252046998999649e-17,6.380708445552728e-19,4.232542428391197e-09,5.643426185574523e-17,8.086947685428705e-20,3.5009508548304683e-14
RT-1.p,3.86331845882392e-07,1.0841296662964672e-11,3.855313104697851e-07,1.2928360849436399e-18,1.545797671114881e-07,7.37899079059514e-20,1.1238989972116234e-18,2.7815743759125443e-19,1.8785538531252617e-19,8.803560433672873e-20,2.846857734569734e-15,5.940741980151133e-14,1.531066134409252e-17,2.9978985555207353e-15,6.012575799923491e-18,1.1315370724359988e-19,2.527365764561734e-13,6.574099308139587e-19,1.2970257018797098e-18,9.846339814022045e-16
CONTROL-5.p,8.063523652987442e-15,2.1552392200186936e-19,8.141700262256833e-18,7.523582440585517e-15,1.7237151752713047e-19,3.8713714752291567e-07,1.2448508313361451e-19,6.4195995744636676e-09,2.83209867769754e-17,3.628695956626884e-06,1.5658806684715896e-13,6.471042927324314e-17,1.0303913239030645e-17,1.1497285433611672e-18,1.6887534307412045e-17,1.113155438222385e-17,1.3501824302315627e-13,1.8696357620079115e-19,8.170987354715187e-14,1.309792597075869e-16
CONTROL-4.p,1.0660977199210146e-15,7.24749562929277e-15,2.9630238889190435e-19,2.202646862855015e-19,7.555330160566324e-19,1.5198654355204194e-19,6.89179809449193e-07,1.9198047243827195e-17,6.894555093899582e-19,6.825492466872636e-10,4.631869280279617e-15,1.4533128533351375e-12,4.1731566435323765e-18,2.297340161870369e-19,3.1053761053577446e-19,1.714823631504943e-13,6.347607038803553e-19,5.145469349810928e-13,8.04023080184271e-16,5.723971068961718e-19
CONTROL-3.p,1.1960887204444696e-19,1.301583923637136e-19,2.6781653389129925e-16,2.3651150859340978e-16,2.3356941506156954e-19,5.56915904410958e-09,2.7532533891557096e-17,2.2992645656429079e-07,1.5794543107176144e-08,4.810602697898753e-07,9.06178398406989e-19,1.2998657633888598e-15,3.3990802581484514e-16,2.30057539598114e-19,1.728189872277692e-12,3.506779367096761e-16,2.0261761100109814e-15,4.714460127431549e-17,1.684193910854351e-17,6.169906168651911e-18
CONTROL-2.p,2.3044514154531696e-06,9.056141258921963e-19,3.611252098096498e-15,2.6248440906632363e-16,5.297257845834372e-19,1.2102809830996663e-17,8.468182176855213e-19,5.253301453643268e-08,5.310496325559896e-06,3.9947088458856965e-10,4.72571584125611e-19,1.2984276535565159e-17,4.976804036818403e-16,2.5863544958836097e-17,1.2091260625502749e-17,2.7031670743663875e-17,3.8691075377726464e-15,8.631458662758454e-18,5.274718289411096e-19,3.850861912974613e-18
CONTROL-1.p,7.35179307727158e-10,2.1439078025751617e-16,1.6532677800392182e-15,1.089424500887491e-19,6.247772102503583e-20,1.6247843930402598e-06,3.908074807893296e-10,2.748521838762803e-07,1.587478381718163e-10,7.463247092628985e-08,1.1828190100006606e-18,5.630653738659271e-14,7.276800465145442e-20,2.3223251402494217e-14,9.08904327789036e-12,8.203578723220518e-17,3.513035348606814e-17,9.229589810536732e-18,2.2799433158791474e-19,2.768032004651736e-16
RT+9H10-5.p,1.6269153018004603e-18,3.0745870271076926e-15,3.7264587798466907e-13,7.295683598198108e-15,2.9007283342645296e-15,1.5647929552049948e-13,5.619349749996403e-15,1.0841580553665594e-18,2.196843265764569e-19,1.0081233377503965e-18,1.27555464340474e-07,1.072205310926963e-06,1.8492714328988894e-08,1.0088028711286176e-12,7.659259681411551e-19,1.7006575094556589e-13,6.595374086508052e-20,2.0094680383832872e-14,4.676490297957483e-10,4.0717189743360653e-10
RT+9H10-4.p,7.998500670420656e-14,1.5639182850094645e-19,1.3484913770902579e-15,4.164202260022495e-18,5.6457823825558867e-14,5.587858629751011e-17,1.4457898819644271e-12,1.096482621404383e-15,2.626016484487613e-17,5.264007902866369e-14,2.361272329721341e-06,6.188840961981215e-07,6.198880546708017e-17,2.3600756062844094e-06,4.231322900941693e-19,2.2830133801543356e-19,1.3039003467443251e-14,1.8895995188710017e-19,3.447340790677532e-19,2.4479364007592714e-11
RT+9H10-3.p,1.0431423878658897e-15,1.2195243364494256e-16,2.2719822668597086e-08,8.27187471201342e-11,1.2772241369702473e-17,1.1237964285390666e-17,5.708005471657217e-18,3.279139789335509e-16,9.196360331351707e-16,1.184551004172635e-19,2.4893362204913317e-08,7.836505530130902e-17,2.686688858103838e-07,3.0229332832350047e-10,1.4395118369788226e-14,5.183356906387555e-07,5.427267829428329e-19,2.2229666342582106e-14,3.6919178730217205e-13,3.578423580227832e-13
RT+9H10-2.p,1.5432868844031103e-14,6.96291867023467e-19,2.355891139710417e-14,4.354708619931726e-17,2.5081360158640947e-15,9.884534860553105e-19,2.3127617834220273e-19,3.0741729658688377e-19,5.478665926788884e-17,2.0512070419694858e-14,1.0541191390879853e-12,2.2266548797286073e-06,3.6140838002164625e-10,5.72923514449345e-07,1.659674910371672e-10,1.4844365863852715e-06,5.399400428034959e-16,8.305001917126615e-13,2.5148894294702742e-15,7.422182932744876e-07
RT+9H10-1.p,1.8449896848219953e-17,9.97296965981983e-18,8.721036182030465e-20,8.690291422141961e-17,6.3389446841520164e-18,2.3113745567186808e-17,3.3133881173067707e-19,1.648159520056201e-12,4.0660853339786516e-17,9.700180252870971e-12,7.362064999113115e-19,5.404193230972261e-19,1.5206327669637855e-14,1.1891204789394955e-10,1.2900026091442765e-07,1.186679441025238e-17,1.4537569621966621e-11,6.695439377348344e-15,6.080262090892797e-20,4.27311009578104e-16
9H10-5.p,4.00359694946653e-09,1.1607461097930084e-10,1.7868615975730906e-14,4.720563260396372e-19,1.2061075026671937e-19,1.1452536930672018e-17,1.7230597239619204e-13,3.2466134096309946e-16,6.156445242975075e-17,5.629732022891193e-17,1.7099747461530784e-13,1.3262860960911652e-19,5.73149301490459e-07,1.1462927044447983e-06,8.676608566009844e-18,3.422587361318673e-07,4.51572549498393e-16,8.91293583071977e-13,4.833479307057041e-11,2.2931886914659436e-06
