file,RT-5.p,RT-4.p,RT-3.p,RT-2.p,RT-1.p,CONTROL-5.p,CONTROL-4.p,CONTROL-3.p,CONTROL-2.p,CONTROL-1.p,RT+9H10-5.p,RT+9H10-4.p,RT+9H10-3.p,RT+9H10-2.p,RT+9H10-1.p,9H10-5.p,9H10-4.p,9H10-3.p,9H10-2.p,9H10-1.p
RT-5.p,4.350239924751518e-08,4.0904392213268406e-07,6.135658924410397e-07,4.0904396855036777e-07,1.0227210391865806e-06,2.3028909510279924e-17,4.426763624402785e-15,2.0452196460963514e-07,6.60721426433788e-20,2.0460191883183057e-07,3.019655752945056e-14,1.048885172579055e-14,2.0454844439836376e-07,1.0673947721936542e-12,1.1419320915250518e-15,6.135660504996175e-07,1.6958192648667215e-19,6.409054311974783e-18,8.992665541674256e-18,2.2197448473116203e-17
RT-4.p,2.081436736053184e-07,1.1047564360423594e-08,2.6541730242774756e-14,6.244310326596912e-07,2.6518730462627615e-14,7.679943713273381e-20,2.3314981163800254e-15,1.0407212494207435e-07,1.2597336790571453e-19,2.0814365665471556e-07,6.180864555730361e-14,5.981770705116824e-14,1.0407182833102301e-07,1.8152405086669936e-16,8.499957956040285e-20,2.7394659929233656e-14,1.8907993682602036e-16,1.2392088947387776e-14,3.4130525736396304e-16,1.500553356563685e-16
RT-3.p,8.920202816583847e-07,2.521105993984039e-14,9.017934752903908e-08,7.878122659891494e-14,2.973400867365445e-07,4.504410678479649e-16,7.21197895946801e-18,5.946801847728296e-07,1.1344805297677006e-18,2.9734036065068226e-07,3.0362685421670554e-19,2.0868557806995524e-19,2.642770695813965e-14,7.090284542751926e-15,2.3691662510943885e-17,2.973412777256773e-07,2.765035352350403e-16,1.7737551422565816e-17,2.9734008311467505e-07,3.350480602310784e-14
RT-2.p,1.9680446210949187e-07,5.904132642637361e-07,7.648620674107167e-14,9.682993021047908e-09,9.840227677377878e-08,7.868171404715607e-20,5.2996711820995296e-18,9.085116626914168e-15,1.2239279106301118e-11,2.657267978718128e-13,6.20039019585135e-14,2.7152267007930935e-11,6.156242145176903e-14,3.232526157165268e-17,2.7354533932365366e-16,7.649841800036107e-14,1.882563655075072e-13,4.005489763821695e-14,1.884538524999344e-20,2.4901881814481053e-16
RT-1.p,1.2971968309274464e-06,2.5476793507601396e-14,2.594146360754726e-07,2.594147111812317e-07,6.864219100773551e-08,2.155968824765452e-19,7.0773425126378815e-12,1.2604593927518032e-11,2.472441341165531e-12,2.546953958981729e-14,1.1051527501321137e-16,2.594146323455224e-07,2.5468953297377325e-14,2.5941518057673776e-07,1.736808332292364e-16,5.188910451172419e-07,6.164837209516902e-14,2.594146323728537e-07,3.2632152061538914e-18,1.0719541254613706e-16
CONTROL-5.p,2.894184978210504e-17,7.393252206098701e-20,5.825292774454885e-16,7.886209769229753e-20,2.7806703560543756e-19,1.753260382728904e-08,6.86741215924861e-20,5.946994112887509e-14,1.3218332805454308e-18,1.3240736998736438e-07,4.0932597336663025e-19,4.547746285308733e-16,3.905898404854292e-18,4.7328690346117e-18,7.436637920404765e-19,3.0266722252483227e-15,1.1236224698043316e-19,1.3240733201966794e-07,5.634001289754857e-08,2.5448799235095707e-12
CONTROL-4.p,4.723951646191748e-15,2.2171505088552875e-15,1.1353355453647623e-17,4.378461862090597e-18,5.785655461320791e-12,6.653061389696286e-20,1.865599407333534e-08,1.365869469433638e-07,8.798354684127543e-12,2.7317389387230295e-07,1.3658695378579315e-07,3.02363278573158e-19,5.202022069065216e-19,4.480399571129338e-19,8.063988823433618e-19,3.1993730700126554e-13,1.115739012743975e-12,3.2139901923978755e-19,1.8243001888179603e-14,1.1156833445701492e-12
CONTROL-3.p,1.8259583088831243e-07,1.8259612595986439e-07,3.6519165756023456e-07,8.52282125923042e-15,1.116429753767632e-11,5.960341987770194e-14,1.8259581908932972e-07,3.33412362512677e-08,3.8932766538303756e-17,1.8259581940316755e-07,1.8259581908334982e-07,1.1164297486715109e-11,1.3637929808727415e-17,2.3047974908511314e-12,6.972895364578242e-14,7.530972534431368e-14,2.5065478204759237e-20,1.1838320685658828e-14,4.270681428953104e-20,5.953397322633561e-13
CONTROL-2.p,5.521898152852138e-20,1.1213646578571066e-19,1.999937443335256e-18,1.3418880120278401e-11,2.0596511229566763e-12,1.404479693342944e-18,8.507328207522575e-12,4.6570679875578564e-17,1.5723081480920953e-08,4.602980686057275e-13,1.0896173689080208e-14,3.5701444235898826e-14,5.81498912049148e-17,2.61806757620724e-18,1.2415621102274515e-07,7.715346667332946e-20,8.628294053600601e-19,3.973170049895763e-14,5.038082837255541e-19,2.900605453064856e-16
CONTROL-1.p,2.5917435583488234e-07,5.18169863149288e-07,2.590852081736184e-07,2.8719222532636085e-13,2.547197488559534e-14,2.5908496823739897e-07,5.181698631493084e-07,2.5908493185621056e-07,5.123058871377912e-13,6.713348342709821e-08,2.5908493157477295e-07,6.97611688525567e-18,2.5908493157501425e-07,1.9053765293111718e-18,6.93001745858138e-13,1.5160416086826453e-12,9.221032411315102e-18,1.4899562542092888e-12,2.590876448505104e-07,2.5908493158249647e-07
RT+9H10-5.p,3.0466481634298307e-14,6.264942582517159e-14,4.233816572702362e-19,6.294658475143011e-14,1.3358193997835643e-16,3.5187579914295024e-19,1.6463315742349636e-07,1.6463315075524023e-07,1.0608043536011802e-14,1.6463315075534166e-07,2.7104099238006376e-08,4.93903637057834e-07,4.8885536873194267e-17,3.6170634586040505e-16,3.1104754690486557e-12,8.320888797027323e-14,5.168428298607119e-20,1.02316417370557e-14,1.336037639049394e-12,2.0110052902450707e-18
RT+9H10-4.p,1.0512027798773099e-14,6.063909352335771e-14,2.3607791415687865e-19,3.71695964788732e-11,2.0074616396129597e-07,3.9257334366247675e-16,2.52912804917929e-19,1.1542044154784844e-11,3.5322582241704126e-14,8.17190988620034e-18,6.022429205523281e-07,4.0299023217056414e-08,1.470752346581488e-18,2.6424416154527115e-16,5.2774874866472025e-17,2.5625623384856523e-18,1.5016908006657223e-11,2.0074783700371997e-07,2.2258573705674178e-17,1.7400508092090002e-13
RT+9H10-3.p,1.0013430603525146e-07,1.0011463588843603e-07,2.8131735789472565e-14,6.161225504823091e-14,2.651704871508714e-14,4.673272395845341e-18,6.424972171055113e-19,1.870407561257198e-17,6.405806281473122e-17,1.0011463588540361e-07,6.087170082588999e-17,2.3162849858758085e-18,1.0022940784548055e-08,3.7764683217781837e-16,4.060531813083163e-18,1.0011466330030996e-07,5.3442927719044456e-14,7.371846962800671e-11,2.8017754434225575e-20,2.8844215427751347e-16
