file,RT-5.p,RT-4.p,RT-3.p,RT-2.p,RT-1.p,CONTROL-5.p,CONTROL-4.p,CONTROL-3.p,CONTROL-2.p,CONTROL-1.p,RT+9H10-5.p,RT+9H10-4.p,RT+9H10-3.p,RT+9H10-2.p,RT+9H10-1.p,9H10-5.p,9H10-4.p,9H10-3.p,9H10-2.p,9H10-1.p
RT-5.p,157720197.0113559,0.04463687477414371,0.44992107882185467,24.87154893635917,12.502370695526267,0.1847353823568224,0.12328708545325968,0.06490668877078719,0.027772267062203128,0.4138128938979739,0.08608356073236752,0.24236018709967821,0.011665382937873885,0.21846455595603945,0.03858592981360886,0.5555086052042643,0.27300770360754717,0.2082744036142609,0.03772314996061771,0.023823935767911034
RT-4.p,0.1085982140404852,4614596936.330526,1.4249191938151342,6.795988349311491,0.016843354954982636,0.0068091948663386095,0.15369377357711764,0.034764938466291764,0.1625011158625559,0.0015691293391957306,0.08490766888788422,68.0091488082238,0.7215661996906917,0.14584457737432174,0.06419922843467876,67.98588740198744,2.8276387724140477,0.003996494410490226,68.24414109345213,0.053687388399282006
RT-3.p,0.8082417894786122,0.7433324263980937,779187055.0340912,27.928374815635205,0.21425824726109644,0.0033477370250241363,0.5952800167085919,0.004481231673985601,0.6206480575521137,1.8151350312931758,0.1260133405918583,1.4610144218325238,3.462264580761331,0.04860396660796536,27.954836885858903,0.5062990441186607,0.22723119921062002,1.6558205921167317,0.49475349490483905,1.8724069647621342
RT-2.p,29.85474660171677,1.8725583037705271,14.934207126857736,222730442.78000778,0.2194341022484909,0.0010181618810836252,0.009411882398460508,1.0248472437181553,0.02860950231202892,0.0023618864908192005,0.09670995303572413,0.032519170304942585,0.0885245265507102,0.0026641621621381595,15.9187802521402,0.0029726020013379102,0.025897257358213233,0.02617222209038352,0.006229457320730318,0.11493430722889016
RT-1.p,17.418488170858158,0.009640958387726937,0.16435767331955786,0.24188831251171575,300486026.18511504,0.3155488287151048,0.7686140950219198,0.8701442284884803,0.1631018982558937,0.016603190142032504,0.013511636499931493,0.5862071276913686,0.02417744945009488,0.02740623628781694,1.0326980575224949,0.06238263534295437,0.03759938695878077,0.07144571786236016,0.021811286552720875,0.008357940935968436
CONTROL-5.p,0.23502667190582596,0.004388643854738149,0.002933162213756248,0.0010609981098615203,0.3165270733950379,303401171.6248217,0.3362010468889151,0.14912595802460343,0.03804691028335976,1.4635286957403946,0.005674652697109987,0.03825785337546519,0.01295853509919225,0.003961894304034829,0.001420757243536315,0.19525201291644145,0.14908552528966462,0.008006145789212861,0.05368815723053557,0.536722324914747
CONTROL-4.p,0.24396765721210703,0.11196129867812481,0.7443368025444136,0.014171346479051255,1.4241883185837878,0.5675000983836115,1442555336.1279707,0.1435460686131253,0.1049994915696695,0.028957909923345924,0.14424595445550392,0.036663445523779536,0.0034286562909486736,0.013694795955570797,0.017514087816436322,0.004005506872978975,0.02557981907768782,0.12104512298567449,0.11981638448495618,0.868403175108016
CONTROL-3.p,0.14969439749543573,0.03062248645875455,0.005320867140501999,2.739284475026152,2.0230106432597528,0.28142500910655804,0.16938705134456206,2673308282.5419955,0.04252905077103605,0.944744331022855,0.32385887375215766,0.003747968373954449,0.19589356039829656,0.017453673103446837,51.28696100135795,0.7476142796398827,0.026333750497871865,0.02573224180794842,0.02864783547845497,0.3514503815772252
CONTROL-2.p,0.03783807484830154,0.08513034659122055,0.5261545222183192,0.03537948195636696,0.18934706660868117,0.04321678547034308,0.07607729136399083,0.029219679867683007,492788831.39488983,2.1396861634688538,0.004769369646875921,0.08327036040822103,0.0079200626310341,0.06734408763377472,0.01862480272235661,0.040559331610571625,1.9883665234139554,1.4161069260462156,0.11444896957098127,0.0822733382816732
CONTROL-1.p,0.46288187023436295,0.0010143006616846403,1.0851237950520456,0.0023415929259338764,0.015243718034945588,1.2624199399251348,0.018673839011459862,0.3718075181670941,1.5238536707310262,213933083.12127876,0.009635287859546801,0.009682537858395401,0.6147952959950614,0.010209933108492329,0.0007294672970626237,0.2437058658010682,0.8734944766424738,0.01018391129550688,0.26033149663042904,0.03523370278519381
RT+9H10-5.p,0.1326809364807382,0.05254032711574382,0.11726350558184404,0.12908218501832391,0.015698377337772563,0.006561594250255046,0.11038509785024991,0.19790824804504084,0.004936592205024125,0.012405128375980847,611463139.6238275,0.2983823410550796,0.05338425125879591,0.08580938253264601,0.14499840567560104,0.19000953054577085,0.41828367186068166,2.9091483122742483,0.178477798228598,0.03292174491218908
