file,vDCRe_beta_SK11_CD8_naive_beta.p,vDCRe_beta_SK11_CD8_EM_beta.p,vDCRe_beta_SK11_CD8_EMRA_beta.p,vDCRe_beta_SK11_CD8_CM_beta.p,vDCRe_beta_SK11_CD4_naive_beta.p,vDCRe_beta_SK11_CD4_EM_beta.p,vDCRe_beta_SK11_CD4_EMRA.p,vDCRe_beta_SK11_CD4_CM_beta.p,vDCRe_beta_EG10_CD8_naive_beta.p,vDCRe_beta_EG10_CD8_EM_beta.p,vDCRe_beta_EG10_CD8_EMRA_beta.p,vDCRe_beta_EG10_CD8_CM_beta.p,vDCRe_beta_EG10_CD4_naive_beta.p,vDCRe_beta_EG10_CD4_EM_beta.p,vDCRe_beta_EG10_CD4_EMRA_beta.p,vDCRe_beta_EG10_CD4_CM_beta.p,vDCRe_alpha_SK11_CD4_naive_alpha.p,vDCRe_alpha_SK11_CD4_EM_alpha.p,vDCRe_alpha_SK11_CD4_EMRA.p,vDCRe_alpha_SK11_CD4_CM_alpha.p,vDCRe_alpha_EG10_CD8_naive_alpha.p,vDCRe_alpha_EG10_CD8_EM_alpha.p,vDCRe_alpha_EG10_CD8_EMRA_alpha.p,vDCRe_alpha_EG10_CD8_CM_alpha.p,vDCRe_alpha_EG10_CD4_naive_alpha.p,vDCRe_alpha_EG10_CD4_EM_alpha.p,vDCRe_alpha_EG10_CD4_EMRA_alpha.p,vDCRe_alpha_EG10_CD4_CM_alpha.p,dcr_KS07_CD8_naive-3_beta.p,dcr_KS07_CD8_naive-3_alpha.p,dcr_KS07_CD8_naive-2_beta.p,dcr_KS07_CD8_naive-2_alpha.p,dcr_KS07_CD8_naive-1_beta.p,dcr_KS07_CD8_naive-1_alpha.p,dcr_KS07_CD8_EM_beta.p,dcr_KS07_CD8_EM_alpha.p,dcr_KS07_CD8_EMRA_beta.p,dcr_KS07_CD8_EMRA_alpha.p,dcr_KS07_CD8_CM_beta.p,dcr_KS07_CD8_CM_alpha.p,dcr_KS07_CD4_naive-4_beta.p,dcr_KS07_CD4_naive-4_alpha.p,dcr_KS07_CD4_naive-2_beta.p,dcr_KS07_CD4_naive-2_alpha.p,dcr_KS07_CD4_naive-1_beta.p,dcr_KS07_CD4_naive-1_alpha.p,dcr_KS07_CD4_EM_beta.p,dcr_KS07_CD4_EM_alpha.p,dcr_KS07_CD4_EMRA_beta.p,dcr_KS07_CD4_EMRA_alpha.p,dcr_KS07_CD4_CM_beta.p,dcr_KS07_CD4_CM_alpha.p,dcr_alpha_SK11_CD8_naive_alpha.p,dcr_alpha_SK11_CD8_EM_alpha.p,dcr_alpha_SK11_CD8_EMRA_alpha.p,dcr_alpha_SK11_CD8_CM_alpha.p
vDCRe_beta_SK11_CD8_naive_beta.p,7259719999.083911,0.027026973025945495,0.010254556344887995,0.06969408860425146,0.5851503257801527,9.720858255745268,0.13912571040866673,0.00467759605735024,8.579692457846631,0.020161332867322575,0.00018531633109754498,0.4030964479440939,0.0014159166212676436,8.095040233463362,0.014519229555165396,0.8447912056943675,3.6764905736044564e-10,3.55974056460214e-11,3.3962160082495525e-08,2.3927388902969242e-06,1.2903116543499817e-10,5.380218927066112e-08,6.647152584642672e-07,4.700754490205616e-10,1.4085907924589766e-11,1.1930961167065622e-11,1.732424703981195e-08,0.00012974036130923005,0.7542549693988956,1.287793699419725e-09,0.007716097136759489,1.1399000481545712e-11,35.95250414970075,6.849196059266211e-05,13.498399818194814,0.0001498674842399825,0.0004418062482536598,2.1887087520289574e-11,1.7870481266708986,3.2673763141735293e-09,0.0018705664022107662,1.014161284132527e-11,8.377713113760696e-06,1.6015710983047e-11,0.0015806413625603607,4.187655444935956e-06,3.1193800344365133e-06,7.057860928616129e-08,0.06074534959771977,9.647712689724426e-12,9.557290174699492e-06,1.8417915982818323e-11,2.958888679750346e-11,7.777437145844895e-08,8.336464612648658e-12,4.390622206534198e-06
vDCRe_beta_SK11_CD8_EM_beta.p,0.018228719042784395,1405586767.2428007,76.05137567357914,0.3609980157264569,2.2584497115872676e-05,0.0025795749814671713,22.74207964426778,0.06983666368000957,2.2818145523376585,0.0029441592828231694,0.04184528289397629,0.2664317387887506,0.5458466455883555,0.0007472632374840621,0.09926300325596982,18.97142226603439,7.380095124655399e-12,4.606514049361538e-12,3.1084711634462153e-12,4.651509195617728e-12,5.489246094481268e-12,3.310722939716771e-12,4.122211749320148e-12,5.376883135178962e-12,3.961973200599878e-12,3.6371216846603983e-12,5.219042842482797e-10,4.718714961479874e-12,0.0018677474680087133,5.84363360625684e-12,0.026939193597674004,5.478175835481533e-12,0.5502717629560783,3.72252160195858e-12,3.4524205180015017,5.588253529286021e-12,0.0004487025304604364,3.660273026176458e-12,0.0009201425330119231,4.353480550498834e-12,9.487439112221136,4.501338789397375e-12,37.308339647811096,6.6222055871832304e-12,7.7018920125032455,6.449583228555904e-12,2.0183867037349797e-05,6.632027032907024e-12,0.12801208126226657,3.541583622296693e-12,0.477747869579852,4.6368375662353845e-12,4.832019236555801e-12,3.503948160124904e-12,3.1142610920792827e-12,3.968272818248765e-12
vDCRe_beta_SK11_CD8_EMRA_beta.p,0.008388300552296788,105.05412799351085,2714391137.941929,2.4481009266837805,2.065836555858647,0.19826777914766297,18.467143153570095,0.03424178651458529,0.8870490652451362,4.196534736326565e-06,0.6261475295761811,2.628114466884768e-06,0.004435976828978293,0.0030597779883802666,0.023481514639446553,4.391467639798769,5.422880942426176e-12,4.761036026682804e-12,6.098358229447571e-12,8.539626313535636e-12,5.704991640915781e-12,9.241056974061797e-12,7.86869934784782e-12,9.99660841082754e-12,6.199163874204635e-12,6.966993567972026e-12,9.07602845029565e-12,1.9175342705750715e-10,0.1550670975623389,7.963036421024599e-12,19.833124010153877,1.7592115276491215e-10,0.0016435360959445517,8.143579307782615e-12,21.742023928707322,1.19330395085353e-11,15.812556852214382,7.269256830324894e-12,0.660064878863116,6.044409837073454e-12,0.1632381999652263,7.465753023094051e-12,1.7897757200677629,1.230003582743393e-11,0.057461341509625743,9.31204929878418e-12,0.0038200709029897625,2.4596523561940238e-11,6.023843718708875e-05,5.6391605190531226e-12,0.20803861447758096,6.542598433942342e-12,8.425377039234844e-12,5.638318927795732e-12,1.5366595424910604e-10,4.9232846983885975e-12
vDCRe_beta_SK11_CD8_CM_beta.p,0.06541946383809605,0.5706790323723587,3.256948879659392,5583272503.261288,0.20090954047469484,23.28556539834662,3.513011000777787,6.5584498427349285,0.0943205337577434,0.012438157564827563,2.442069632312998e-06,0.0023219882751919453,0.02270664763757852,7.892860575991611,5.648719886753719,26.37855401179421,1.5379238450018254e-11,1.0380441079504287e-11,2.4807674626736705e-11,9.793340442140749e-12,1.3836801923520924e-11,1.863632615822229e-11,3.940184298139496e-11,9.9928109946117e-11,1.1977376295357263e-11,1.2399761235786803e-11,1.0726858136555057e-11,1.2869351337101781e-11,0.25419119403937485,1.1420172881260859e-11,0.007113158149299011,1.5018167348763514e-11,11.613600918687082,1.4337664039256056e-08,0.9173825530256106,1.1711693446267499e-11,11.51923045907434,2.3894173679625507e-11,2.2471739148640975,2.49133622687185e-11,0.7881671584762862,7.703371156821964e-08,0.0009093590056228316,2.6078003845080497e-11,1.2984997041892965,1.7338089600764623e-11,9.668342660528123e-05,2.054290564026474e-10,19.600731537342753,1.4650941080345235e-11,0.15635391946300073,5.083803923406522e-11,9.766972455974255e-09,8.315381539040786e-12,2.3320255484264532e-11,2.4672946558201987e-10
vDCRe_beta_SK11_CD4_naive_beta.p,0.4680102264928188,2.222891286317051e-05,2.355910362193798,0.17770424553276498,3728246689.338071,21.000581939638092,2.103720513793584e-06,0.07045712776202001,0.020382733585319567,21.051887332511246,0.03200196710122603,0.0028057787226575897,20.73308508681854,11.09593314478654,0.094154056823538,0.0439380548891562,8.253995988022572e-12,6.554078663386247e-12,6.248099457874101e-12,1.495494770998156e-11,1.0283980958808585e-11,7.881199544570334e-12,1.2615894771430133e-11,7.882449845044305e-12,1.09513749146266e-11,1.2037873091908012e-11,8.203364698123186e-12,8.913072354796214e-12,0.07267068926653927,9.900106941346839e-12,0.0024747929010727277,9.131778118873105e-12,0.002744388359222362,7.252910322441066e-12,0.07742077492150518,9.967714063529e-12,0.00012055266195535431,8.977185252467631e-12,1.1030214485474097,7.707530110154863e-12,0.0004770548157645307,6.907303946684302e-12,1.1483735160992075,1.0808151745062084e-11,0.17456155996478434,1.1244462640319e-11,0.6066383554546095,1.3430034081614666e-11,0.04224143478938435,5.757685096823522e-12,0.5039204761817676,9.841946729737066e-12,7.686135887297277e-12,8.450458616404422e-12,1.028971794748712e-11,8.832624239944831e-12
vDCRe_beta_SK11_CD4_EM_beta.p,4.813857438667367,0.002555522627385467,0.15913937266457398,11.905078964170029,12.891785561387932,1304866560.8339527,0.05096516036840798,0.030381837674202442,0.00020616936242104003,0.06705270756533638,4.124139855177886e-05,0.21476388460203422,6.308320365284477e-07,0.01984883455356777,0.5968735897097066,0.15224084295133763,4.337353780097263e-12,6.475635392270357e-11,4.995304501040383e-12,4.097373108874259e-12,4.85311636540827e-12,3.391109430148501e-12,6.710713899329301e-12,4.443578947438403e-12,5.569429765561058e-12,6.455722894210895e-12,4.347829501000408e-12,4.877427676367392e-12,0.0036429505382510764,6.249353017998689e-12,0.17092739030720577,5.104101168518692e-12,0.7240748812127434,3.19401269672371e-12,0.709234608562589,6.417626852752715e-12,0.1977219364850017,8.500708634547032e-12,0.0010940203740101566,4.376389227488315e-12,0.0019601904615165096,5.194027966029537e-12,0.0004943458669698571,5.3480403715036385e-12,0.001098497359665152,6.417364877614205e-12,2.596814150604887,2.1351305686892265e-05,0.11455439129718624,4.941743272606534e-12,0.28593711995599075,7.598629946216233e-12,4.33138825456396e-12,3.2798629806121606e-12,3.5244934544863526e-12,4.871771296769233e-12
vDCRe_beta_SK11_CD4_EMRA.p,0.10468560924465369,31.299326114269846,18.557898352841256,2.651821497105465,2.1828267120488556e-06,0.062373954750026314,2695124229.568231,5.557396719957916,0.0006606174885734215,0.23607034218467582,14.554164070490799,0.0002121690652395499,0.02026345576595885,1.4438955438609968,11.290447288223453,5.643271698792545e-07,6.860633970137923e-12,6.4279833347795865e-12,5.9665319955145295e-12,5.446268572078625e-12,7.963251010736937e-12,6.623569853880679e-12,1.7198134423051684e-11,1.0244760510282197e-11,6.702900639890905e-12,7.001074432036361e-12,3.945770983873223e-11,6.945061889619889e-10,0.006816871863551432,7.021352264729588e-12,15.207107461902343,9.390034319569681e-07,0.000553754651711601,6.027613797481466e-12,0.00015063536176895272,7.996699878223058e-12,0.002360985415678957,7.977528450293387e-12,0.00012918316389239426,9.704001477180818e-12,0.14448352799785938,6.2681749671507826e-12,31.2943424531537,8.784443679713632e-12,1.615114446655122e-06,8.153195085519045e-12,0.0020448509596461247,2.162948873070719e-11,0.012555628806719326,9.374528098689409e-12,1.094345854868747,6.3788072858470734e-12,6.005279579683947e-12,4.198429395580028e-12,5.215786660301709e-10,5.885062998652926e-12
vDCRe_beta_SK11_CD4_CM_beta.p,0.003587358872738426,0.07353966514665215,0.030343252422821695,3.967053232891502,0.05632175158659921,0.032311380415191195,4.6026546348741535,1663110770.9791334,0.00013294039042600694,0.06469642709342022,0.23880657327434804,0.010111928808628838,0.03036425917407783,0.06478547532525465,0.5489247219384503,0.13177987191072865,6.806052111935e-12,4.0349290292976e-12,1.498979400626661e-11,6.606749424724488e-12,2.8550062370949473e-10,4.1821641265361385e-09,3.8667762057568317e-10,5.251399255006008e-08,7.58492257108095e-12,1.2935016322126693e-10,1.6853135002649816e-09,2.190142406200357e-11,0.07784577330637654,6.601711160730873e-12,0.02796634331315031,4.2659420834058156e-08,0.0105367237862301,0.002960425886789349,2.9572073740673602e-05,4.8340604379622856e-11,3.853962236910711e-05,8.102333856418504e-12,0.001095277430287804,2.6364512537028356e-11,4.511743468166362,1.3021033398667206e-10,2.1185148625779803e-05,1.5391716703931934e-08,0.06179061057130601,1.43310698605203e-08,0.0001095905802911505,1.700315303653368e-09,1.0022536826019633e-06,9.110309725158845e-12,1.0963073959362328,2.734072639232663e-09,1.1683595450970947e-05,2.448999191888421e-12,4.256318548545788e-10,1.8194588817797744e-11
vDCRe_beta_EG10_CD8_naive_beta.p,5.533672767228471,2.9296082526230895,0.8768863469811338,0.07631843505837832,0.018827472046145734,0.0002148648646452615,0.0006577157005030919,0.00013739925503256778,2581508504.226065,0.0035500166040262084,0.16315545831179767,1.0689072458766449,0.38179852356385524,0.04174574143759861,0.334584590287391,0.007310846919142351,8.085176616430997e-12,5.5057612765697486e-12,5.539608726321573e-12,6.619890199660765e-12,9.417745846498482e-12,5.652710193806636e-12,8.216475332335199e-12,1.0155367387302412e-11,5.8634643062444925e-12,7.376600216514406e-11,3.2980103187977345e-12,6.8935478346475806e-12,17.442600712514714,4.8702672867595995e-12,0.004012213829719367,1.0098451569519043e-11,0.0009738243451096483,7.565937468016333e-12,0.00012625706018665582,8.547656830073411e-12,0.48617757783399596,8.559320380131207e-12,2.0112800793196583e-06,5.9685778348053024e-12,0.10489795781743089,6.9807267051879354e-12,0.5961122616915585,9.376506477401008e-12,7.677199830664223e-05,1.1069038856292573e-11,4.035076923889175,1.0457442364010663e-10,1.5286788571749739,8.572393778499314e-12,8.088095793045863,8.350586883382103e-12,8.125436403981376e-12,3.809228565046687e-12,4.8825212083275414e-12,4.115105379687721e-12
vDCRe_beta_EG10_CD8_EM_beta.p,0.016904088433024978,0.003440920863477843,4.125960324519904e-06,0.011243855490088037,19.95174680325558,0.08667116747955353,0.2522420854094265,0.07864941105954047,0.003710923796119715,3319412281.4196796,0.01816019124966671,3.827106621388334e-07,0.00622441209405501,57.61419123518106,0.0011759437886722816,0.02499392221939708,7.716888840895229e-12,1.0276725624580254e-11,7.132653879671732e-12,8.912612306570113e-08,6.792794500718529e-12,5.3582995937836905e-12,8.807253829114482e-12,6.903426216035554e-12,7.996554619658273e-12,8.993177596322833e-12,5.197753416782196e-12,1.2161971729035939e-11,3.959788982934346,9.634331717752997e-12,7.719190540451857e-06,7.453504347517178e-12,0.0018568903204311557,6.2415994943206515e-12,0.017057151443370687,1.0437778258006667e-11,0.5595130542366038,7.9236455054556e-12,2.7120648024007587e-06,7.468659536507348e-12,0.02264075415933739,9.955073717482976e-12,0.005686410351988536,1.4527009760137389e-11,0.3659507043072898,8.7512272328107e-12,3.9966715221069455e-07,8.615236215532639e-12,0.00043227655002921596,1.116535784628855e-11,0.06474356614957276,6.5043177236396964e-12,7.303436995894225e-12,4.019410890420196e-12,6.574682139418845e-12,7.546740744030108e-12
