file,RT-5,RT-4,RT-3,RT-2,RT-1,CONTROL-5,CONTROL-4,CONTROL-2,CONTROL-1,RT+9H10-5,RT+9H10-4,RT+9H10-3,RT+9H10-2,RT+9H10-1,9H10-5,9H10-4,9H10-3
RT-5,2.04,2.686,2.794,2.73,2.756,2.95,3.03,2.972,2.97,2.874,2.91,2.862,2.908,2.908,2.998,2.888,2.92
RT-4,2.686,1.65,2.728,2.5,2.888,2.748,2.828,2.726,2.794,2.698,2.778,2.694,2.836,2.808,2.842,2.716,2.79
RT-3,2.794,2.728,1.682,2.766,2.78,2.79,2.854,2.824,2.868,2.736,2.862,2.748,2.87,2.806,2.912,2.794,2.78
RT-2,2.73,2.5,2.766,1.83,2.886,2.738,2.816,2.862,2.882,2.736,2.796,2.772,2.856,2.766,2.882,2.744,2.766
RT-1,2.756,2.888,2.78,2.886,1.66,2.888,2.936,2.838,2.904,2.774,2.816,2.778,2.874,2.836,2.858,2.838,2.814
CONTROL-5,2.95,2.748,2.79,2.738,2.888,2.296,2.914,2.92,2.874,2.884,2.964,2.914,2.92,2.97,2.926,2.86,2.884
CONTROL-4,3.03,2.828,2.854,2.816,2.936,2.914,1.544,2.756,2.754,2.716,2.868,2.71,2.826,2.798,2.892,2.722,2.746
CONTROL-2,2.972,2.726,2.824,2.862,2.838,2.92,2.756,1.532,2.608,2.706,2.736,2.726,2.852,2.71,2.738,2.658,2.746
CONTROL-1,2.97,2.794,2.868,2.882,2.904,2.874,2.754,2.608,1.842,2.77,2.836,2.776,2.896,2.852,2.9,2.784,2.768
RT+9H10-5,2.874,2.698,2.736,2.736,2.774,2.884,2.716,2.706,2.77,2.092,2.542,2.762,2.766,2.814,2.84,2.76,2.738
RT+9H10-4,2.91,2.778,2.862,2.796,2.816,2.964,2.868,2.736,2.836,2.542,1.698,2.808,2.846,2.806,2.952,2.776,2.808
RT+9H10-3,2.862,2.694,2.748,2.772,2.778,2.914,2.71,2.726,2.776,2.762,2.808,2.124,2.876,2.756,2.796,2.764,2.81
RT+9H10-2,2.908,2.836,2.87,2.856,2.874,2.92,2.826,2.852,2.896,2.766,2.846,2.876,1.52,2.748,2.824,2.77,2.766
RT+9H10-1,2.908,2.808,2.806,2.766,2.836,2.97,2.798,2.71,2.852,2.814,2.806,2.756,2.748,1.958,2.866,2.76,2.744
9H10-5,2.998,2.842,2.912,2.882,2.858,2.926,2.892,2.738,2.9,2.84,2.952,2.796,2.824,2.866,1.276,2.672,2.714
9H10-4,2.888,2.716,2.794,2.744,2.838,2.86,2.722,2.658,2.784,2.76,2.776,2.764,2.77,2.76,2.672,1.836,2.748
9H10-3,2.92,2.79,2.78,2.766,2.814,2.884,2.746,2.746,2.768,2.738,2.808,2.81,2.766,2.744,2.714,2.748,1.364
