file,RT-5.p,RT-4.p,RT-3.p,RT-2.p,RT-1.p,CONTROL-5.p,CONTROL-4.p,CONTROL-3.p,CONTROL-2.p,CONTROL-1.p,RT+9H10-5.p,RT+9H10-4.p,RT+9H10-3.p,RT+9H10-2.p,RT+9H10-1.p,9H10-5.p,9H10-4.p,9H10-3.p,9H10-2.p,9H10-1.p
RT-5.p,0.0004206808160816022,8.847049984031452e-10,1.1284130796801822e-18,5.2802799327803254e-05,9.376404711726481e-05,5.583602757595075e-15,2.5606447894211094e-12,2.367639872211409e-18,4.8497891383623076e-05,2.9152804286447532e-18,8.486874907477465e-11,6.077408965553775e-17,5.4806307815386195e-15,3.313395295472323e-05,5.361607676560037e-18,6.529129846172237e-14,2.6179690719271437e-13,2.196951141529607e-14,1.5831919864709858e-15,2.282313797554831e-12
RT-4.p,1.3756042671247838e-08,3112.816312832175,1.2686997661134365e-13,0.11147234299340818,0.033998312564792924,1.479704345757543e-15,4.917093039534475e-13,0.04843595196637397,9.495600690304917e-08,3.8599285076971484e-15,2.899448315584574e-15,0.02008991189514497,1.4515641786470166e-13,1.012592839767893e-13,2.0623333494150055e-15,0.0027115218508861985,1.39290163391519e-15,1.5519730232790204e-15,3.275491572534023e-15,3.580363873068907e-15
RT-3.p,8.866550288913483e-16,2.0120101327206912e-13,601.2800979969936,2.999669826117743e-15,1.3591120748590319e-15,0.0019962707914680734,2.713412024338796e-15,1.597493538688671e-11,1.2262844527976178e-10,3.462291799927327e-14,1.1111355086969339e-15,2.900306769605295e-14,1.610658609282469e-15,1.4259012172616332e-15,2.4189222287240658e-14,1.0540322871612123e-15,1.1912389564068787e-13,9.04699241994804e-16,1.1945643726872054e-15,1.2078621755857202e-15
RT-2.p,0.00884520509691963,0.010724761630393608,5.4519730349148026e-15,10.994904984483147,0.00032978590322909647,0.00042268334075989554,4.483024528951775e-16,0.002466617851547526,0.020489939325445374,2.2143219205088564e-16,3.559555074141642e-16,2.044479307435524e-16,1.1048871139523097e-15,0.013998808325166569,2.554597288900484e-16,0.0005523408072485517,2.9359427389920577e-16,5.370678713746187e-16,5.657999042126224e-16,0.0002206655676018779
RT-1.p,8.157864849912735e-05,1.698799179249151e-05,2.2378673684951525e-18,1.7127395679039552e-06,0.0003014683798878641,9.16518256070774e-18,4.200260718270898e-10,9.787375416483863e-18,1.3317309022207876e-18,1.7440972560968942e-11,1.041420471902363e-18,3.1990011765246893e-06,6.607101133273823e-15,1.9083046429660713e-18,3.4023448776770087e-12,1.0588936457900617e-14,1.292904798847438e-18,3.617593265425496e-06,2.49500307993498e-12,9.155620524759213e-11
CONTROL-5.p,1.0306452370893398e-14,4.6910024277841154e-18,1.5395768060469477e-07,1.6724158533531984e-07,7.188817776952337e-17,1.008578893271605e-06,6.367167014662205e-06,6.903486241465464e-07,1.8301590187375533e-13,3.0237418221483906e-07,4.255509538994127e-16,3.1236848901953185e-07,2.0306571699770932e-13,2.892717075840886e-14,1.7101134550471615e-09,3.198519778891268e-14,5.354448236184155e-17,5.973767135602433e-17,2.690982167265704e-12,5.3899274098652745e-19
CONTROL-4.p,2.3299430397304725e-12,1.583016523953734e-12,1.1505145066261762e-16,3.552769654384206e-17,1.242682990338828e-09,0.0018818596206304295,0.11317422544920452,0.00036346419176273316,7.842232413512475e-05,0.0021377925290361954,7.07546278926062e-15,7.12156961417823e-17,0.00037080120184486794,9.896805292722972e-14,5.760594720919961e-15,4.1861254707199355e-14,0.0005393472026834555,1.047079299878628e-12,1.2617532517104034e-13,1.096980298412507e-15
CONTROL-3.p,6.034344063050024e-18,7.359705569941536e-05,2.0807202354869347e-11,3.895596366390733e-05,9.954595088710913e-18,2.7555705126896762e-05,4.908668619378639e-05,0.0005502342350138364,2.147477075161903e-17,1.5651643058042308e-05,1.0560735798657802e-14,6.362470416507165e-18,1.0060771358253615e-17,1.2588650248284394e-17,8.714657637364226e-18,2.0289450294084464e-14,6.032812161754058e-18,3.0119820941952545e-16,6.585062913804697e-18,5.394637125032299e-06
CONTROL-2.p,0.0008840486295539091,1.508765471548958e-08,1.1142928151164377e-10,0.0022296801719164923,3.81603080732314e-17,7.847836851053347e-14,7.297458104490705e-05,4.109825855921794e-17,0.12492772711962345,8.144098442158469e-05,6.422252353228081e-17,5.156519096067563e-14,0.00033195501900556545,0.0014509537976265616,0.000408080492851901,3.122685250332438e-05,0.00048284438936652206,3.8051395842241685e-17,3.9225011544898415e-17,4.4474453486258455e-17
CONTROL-1.p,1.2886091536034394e-17,7.002125414431375e-15,3.019734147682953e-13,1.0526804194747778e-17,8.700364938870125e-12,2.7797226003489287e-07,6.649380313396612e-06,3.6047545393540954e-07,2.726593166111411e-07,4.440378277567868e-07,2.7284447740150953e-17,1.1354005903909074e-18,2.38321602930488e-16,1.2034362353096334e-07,4.285275920671791e-15,8.420027444869652e-17,9.830038871893696e-13,8.11570816541007e-06,4.6031717481201814e-07,3.144731677708414e-18
