file,RT-5,RT-4,RT-3,RT-2,RT-1,CONTROL-5,CONTROL-4,CONTROL-3,CONTROL-2,CONTROL-1,RT+9H10-5,RT+9H10-4,RT+9H10-3,RT+9H10-2,RT+9H10-1,9H10-5,9H10-4,9H10-3,9H10-2,9H10-1
RT-5,nan,0.03478310633487067,0.06710791046751012,0.03496159494791788,0.06520932122718671,0.07506528613604152,0.1135137195993064,0.0501247929444216,0.0771471019531405,0.07983378686914351,0.041069525124498275,0.06634581632654613,0.03707096460733966,0.07936767506348268,0.048664853564320355,0.04936322441229282,0.06180464184859616,0.06587520923215179,0.08758383112223819,0.06955597054862987
RT-4,0.03478310633487067,nan,0.06894516094301989,0.046901504131394635,0.043328503398446176,0.06492238589266963,0.08973627028772646,0.053547825871316686,0.05784936686366398,0.06787776958145982,0.05188895797370168,0.09263302950870864,0.04811711187634573,0.06689794201908418,0.08042665124050102,0.03902124097225608,0.0660069799359389,0.06722145447975386,0.05973314293019816,0.04316929017311541
RT-3,0.06710791046751012,0.06894516094301989,nan,0.05689844323676212,0.06129030041058422,0.07014451124245373,0.05143642541213104,0.055637522374823396,0.08982834710161662,0.06686075722570001,0.06790514650539323,0.05927083866673196,0.06719927438022666,0.1011049905423518,0.06293652555848477,0.0697640750736703,0.09782520437514072,0.053921417806455714,0.07705585166957434,0.06406086930756631
RT-2,0.03496159494791788,0.046901504131394635,0.05689844323676212,nan,0.06633632224228876,0.05949347187886018,0.10169484252800068,0.05569399511816463,0.0953232666294869,0.04387684829475287,0.05801178898238075,0.058283512276730266,0.05764495766721984,0.08921096869102235,0.06374382466909902,0.047883200452407314,0.05473854105233561,0.049983260830964465,0.07176590148973017,0.05928502014476887
RT-1,0.06520932122718671,0.043328503398446176,0.06129030041058422,0.06633632224228876,nan,0.08577663289790516,0.15598759774352997,0.06437180785739624,0.0775316113139682,0.12238531223033684,0.09352723817725003,0.10374715425202471,0.07059955757339521,0.11723302235803566,0.07707367007252208,0.08850326782500822,0.10807400620680109,0.07564590781169248,0.0631447953210223,0.0869181014207991
CONTROL-5,0.07506528613604152,0.06492238589266963,0.07014451124245373,0.05949347187886018,0.08577663289790516,nan,0.06991600609601643,0.08117050689004844,0.07345598083899635,0.04822504188836431,0.06630959522277446,0.10162397482863099,0.061533628603837265,0.09727297544895526,0.07834508464473774,0.04423255283447727,0.07653107622011585,0.057695016480000326,0.0500983628074142,0.06148995290174211
CONTROL-4,0.1135137195993064,0.08973627028772646,0.05143642541213104,0.10169484252800068,0.15598759774352997,0.06991600609601643,nan,0.08090520703174037,0.07972366307427248,0.07974587068616389,0.11501157331328743,0.1221141399999684,0.09502768598714967,0.0952519785173732,0.0948626055863419,0.08018949555783522,0.11814656470960157,0.07694686292608137,0.0851499498181229,0.09156606311385382
CONTROL-3,0.0501247929444216,0.053547825871316686,0.055637522374823396,0.05569399511816463,0.06437180785739624,0.08117050689004844,0.08090520703174037,nan,0.08880969633749505,0.07705138749263425,0.09096118694975462,0.08771621051173555,0.09129100640383936,0.10564239719810048,0.08137192392098255,0.057442355473467197,0.09541581807453264,0.07497104843219508,0.06358732308429364,0.055453652496224394
CONTROL-2,0.0771471019531405,0.05784936686366398,0.08982834710161662,0.0953232666294869,0.0775316113139682,0.07345598083899635,0.07972366307427248,0.08880969633749505,nan,0.09795607083151332,0.07151019690487717,0.08085205867031962,0.0649569532263569,0.06511110577200906,0.07802145569074147,0.044524648541278584,0.070923412723186,0.062043311074627905,0.04245275712386082,0.08767290838182487
CONTROL-1,0.07983378686914351,0.06787776958145982,0.06686075722570001,0.04387684829475287,0.12238531223033684,0.04822504188836431,0.07974587068616389,0.07705138749263425,0.09795607083151332,nan,0.07325135001035567,0.08434584610843643,0.05576803685166154,0.07521663955272333,0.08381049162408068,0.04880332221666691,0.071786391947749,0.05678521292605952,0.05109288424603144,0.061386744477745156
RT+9H10-5,0.041069525124498275,0.05188895797370168,0.06790514650539323,0.05801178898238075,0.09352723817725003,0.06630959522277446,0.11501157331328743,0.09096118694975462,0.07151019690487717,0.07325135001035567,nan,0.07747401780236535,0.027624341693434085,0.05807696868668279,0.05077932645352043,0.046834682786229244,0.05465365998446944,0.07019268733191819,0.08473611684711693,0.0790912657565862
RT+9H10-4,0.06634581632654613,0.09263302950870864,0.05927083866673196,0.058283512276730266,0.10374715425202471,0.10162397482863099,0.1221141399999684,0.08771621051173555,0.08085205867031962,0.08434584610843643,0.07747401780236535,nan,0.06810396592252374,0.06738347923616857,0.04703166182893987,0.062006275321678635,0.0684741872670866,0.07082400966120797,0.06469209029089842,0.080023169778879
RT+9H10-3,0.03707096460733966,0.04811711187634573,0.06719927438022666,0.05764495766721984,0.07059955757339521,0.061533628603837265,0.09502768598714967,0.09129100640383936,0.0649569532263569,0.05576803685166154,0.027624341693434085,0.06810396592252374,nan,0.08155920806102786,0.046216299233275235,0.049004325126641234,0.05733195514209536,0.06386778417539513,0.06919127920799922,0.07865972907760721
