file,vDCRe_beta_SK11_CD8_naive_beta.p,vDCRe_beta_SK11_CD8_EM_beta.p,vDCRe_beta_SK11_CD8_EMRA_beta.p,vDCRe_beta_SK11_CD8_CM_beta.p,vDCRe_beta_SK11_CD4_naive_beta.p,vDCRe_beta_SK11_CD4_EM_beta.p,vDCRe_beta_SK11_CD4_EMRA.p,vDCRe_beta_SK11_CD4_CM_beta.p,vDCRe_beta_EG10_CD8_naive_beta.p,vDCRe_beta_EG10_CD8_EM_beta.p,vDCRe_beta_EG10_CD8_EMRA_beta.p,vDCRe_beta_EG10_CD8_CM_beta.p,vDCRe_beta_EG10_CD4_naive_beta.p,vDCRe_beta_EG10_CD4_EM_beta.p,vDCRe_beta_EG10_CD4_EMRA_beta.p,vDCRe_beta_EG10_CD4_CM_beta.p,vDCRe_alpha_SK11_CD4_naive_alpha.p,vDCRe_alpha_SK11_CD4_EM_alpha.p,vDCRe_alpha_SK11_CD4_EMRA.p,vDCRe_alpha_SK11_CD4_CM_alpha.p,vDCRe_alpha_EG10_CD8_naive_alpha.p,vDCRe_alpha_EG10_CD8_EM_alpha.p,vDCRe_alpha_EG10_CD8_EMRA_alpha.p,vDCRe_alpha_EG10_CD8_CM_alpha.p,vDCRe_alpha_EG10_CD4_naive_alpha.p,vDCRe_alpha_EG10_CD4_EM_alpha.p,vDCRe_alpha_EG10_CD4_EMRA_alpha.p,vDCRe_alpha_EG10_CD4_CM_alpha.p,dcr_KS07_CD8_naive-3_beta.p,dcr_KS07_CD8_naive-3_alpha.p,dcr_KS07_CD8_naive-2_beta.p,dcr_KS07_CD8_naive-2_alpha.p,dcr_KS07_CD8_naive-1_beta.p,dcr_KS07_CD8_naive-1_alpha.p,dcr_KS07_CD8_EM_beta.p,dcr_KS07_CD8_EM_alpha.p,dcr_KS07_CD8_EMRA_beta.p,dcr_KS07_CD8_EMRA_alpha.p,dcr_KS07_CD8_CM_beta.p,dcr_KS07_CD8_CM_alpha.p,dcr_KS07_CD4_naive-4_beta.p,dcr_KS07_CD4_naive-4_alpha.p,dcr_KS07_CD4_naive-2_beta.p,dcr_KS07_CD4_naive-2_alpha.p,dcr_KS07_CD4_naive-1_beta.p,dcr_KS07_CD4_naive-1_alpha.p,dcr_KS07_CD4_EM_beta.p,dcr_KS07_CD4_EM_alpha.p,dcr_KS07_CD4_EMRA_beta.p,dcr_KS07_CD4_EMRA_alpha.p,dcr_KS07_CD4_CM_beta.p,dcr_KS07_CD4_CM_alpha.p,dcr_alpha_SK11_CD8_naive_alpha.p,dcr_alpha_SK11_CD8_EM_alpha.p,dcr_alpha_SK11_CD8_EMRA_alpha.p,dcr_alpha_SK11_CD8_CM_alpha.p
vDCRe_beta_SK11_CD8_naive_beta.p,8544564712.857086,0.0030462459648742477,0.19845343900113657,0.25240900906509695,0.011825363851594826,0.0013703293222286858,1.6591231304822068e-05,0.006599991402918743,0.0001142382497228439,0.0012704519182293278,2.1837178352989803,9.734446396981848,0.0025773455000676748,0.010030890876827753,0.1698953031025074,0.042252211544644716,1.4124440521541772e-11,1.8014603103269576e-11,1.3755971897584863e-11,3.3412287783991406e-08,2.0821948836190912e-11,1.4471220431632335e-11,1.5308506396519984e-11,8.608263227587547e-12,2.1371459336802518e-11,2.7922704815130878e-11,1.7278582457676467e-11,1.8426905963633275e-11,1.3764404608340683,1.209399252593453e-11,0.0016882539746420184,1.5578904526415428e-11,0.039469165434832205,1.951631588497615e-11,1.6004570304456236e-05,8.993652770604868e-12,0.009678951386137176,1.7366256851045876e-11,1.747950995306448e-05,1.3570477072475832e-11,2.824145949868025e-06,1.9991461800370923e-11,0.1931896488598717,1.337430395981629e-11,0.0012164728406533823,2.575368075397007e-11,0.3496741609080059,1.825252051333353e-11,7.708492671885572e-05,1.580192509046745e-11,4.8855154168646205e-05,2.5425702541514664e-11,1.3453486107037651e-11,3.016144579964482e-11,2.5196962983030282e-11,1.7336678106613047e-11
vDCRe_beta_SK11_CD8_EM_beta.p,0.0039004257957033425,2.49413570931223e+23,39910072.974062234,602.4157537008047,1.753166207232164e-05,197.69152530958849,0.765292364121469,1352.235927135115,10821.945767969668,0.002088699052531869,0.0005613583173103561,0.01608937364527523,777603.9677688329,0.8555457009479391,1.9348417295938587,4.9069414384234656e-05,3.3684566737397663e-06,6.1222699985016125e-06,3.261729784843103e-06,2.044622869535132e-05,1.46833930906382e-05,1.1374525028995862e-05,9.978849551307056e-06,1.7096720234902048e-06,1.9504957831521442e-05,1.7487220437124233e-05,2.3335361203570514e-06,5.998917956008548e-06,61722.81195533287,2.4362203080012367e-06,9.910822814650276e-05,3.304184007613982e-05,45493174.509326585,1.8152506632001385e-05,2.695626460603008e-05,9.528532167118099e-07,1.4466022889324859,3.1014648463431455e-05,9.014751629268737e-05,5.548965972989938e-06,0.01271720335611774,3.359808840571118e-06,1204.820682691764,5.611624179700676e-06,2.23197284065678e-05,8.613869908286295e-06,7.5732474639299055e-06,3.7200030686812733e-06,6.490036865661258e-06,1.8432387632685992e-05,9.416977116377493e-05,5.825685962197969e-06,3.77968413154695e-06,1.3734443668155428e-05,4.005489606362306e-06,2.088910985785818e-05
vDCRe_beta_SK11_CD8_EMRA_beta.p,6945738.852419454,712132630226.6113,1.0955204974685025e+32,30123484.07921795,0.019720239658068718,0.16106685177793775,0.45208659393337897,0.1776722507314451,500669747.8036676,0.019402132497435647,3.5233067708090817,51458214.96779854,0.17494147330729024,6959223.986546711,0.19570537743460298,447694333.43141186,0.10660516814126286,0.05545511444308406,0.08751170695526311,0.09025451032329196,0.04063392944008708,0.021593186119232156,0.006943862342662007,0.1778567890900404,0.11398925965387234,0.19248399110676673,0.012498662593242076,0.012747721334738444,0.00970622182906523,0.03263366188428512,0.21542938058209665,0.05382513172269137,43.739313770230936,0.009654423316103373,31.396667964762916,0.019505306821150696,1.1770869208823695,0.004334334556664206,0.8217714698712958,0.0040605805230167205,0.29869569001347007,0.02343664150449225,38358858.83400732,0.012832793648469374,229593.62321528656,0.04961458838727406,0.204973359103059,0.012353766959116316,0.2584652565384576,0.010931941869839631,0.13629002017125677,0.004455959883230268,0.00424815674870067,0.05805606634189324,0.03938803420386399,0.02015672598616191
vDCRe_beta_SK11_CD8_CM_beta.p,34.13007041334482,43.994476423656636,1422.450562172444,4.491112988470176e+18,1.66173955144639e-05,403.0990135786107,1.293218409191015e-07,31.73091587974806,12.141950726481221,2.5120041633793745e-07,0.018179526946315593,282.8456966262112,3.4037137969518323e-07,4.952846403585467e-07,0.0012492051891221942,0.007064690543642674,8.474126527631416e-08,8.622754335921673e-08,5.972650444287025e-08,1.0447818555731319e-07,6.468713819885898e-08,1.510906725233985e-07,1.4749777644949174e-07,6.902078974825647e-08,8.177535874345187e-08,1.1101149152979245e-07,5.464210236624004e-08,5.365532317631301e-08,0.0017494432457214873,5.405913797409317e-08,0.00042839349851031035,7.158923367974826e-08,84.78459770759473,1.5799180743500528e-07,0.005773917644579923,2.2277725892342623e-08,0.007105724276667092,7.657986757772636e-08,7.077361859999002e-06,4.391752073371563e-08,9.347220407700842,9.508710565046624e-08,25.62006249089559,4.984620487969867e-08,0.39292162527067254,4.0173614582835346e-08,56.014311785376684,1.4915342462077225e-07,2.548708084166298e-07,6.860173990216098e-08,1.834911908976527e-06,1.0193411487785322e-07,3.317175138520078e-08,6.053099486986563e-08,4.400497738618755e-08,1.097421637772399e-07
vDCRe_beta_SK11_CD4_naive_beta.p,0.012951458561095513,1.2281499318568737e-06,2.2006698585481744e-06,0.0001003819323900795,13161503488.268654,3.451581900096381e-05,1.9097337381592763e-05,40.8539268131938,0.005499161593719037,3.05060606919127,21.175573066565647,0.025412886966352646,0.08977910601867475,0.002191507852946305,5.544711506005382e-05,0.9854507293467408,1.5658843589802888e-11,1.9589090098243316e-11,2.6760814852150666e-11,2.186930404398557e-11,2.2064807159873955e-11,2.5038741338872925e-11,2.0777713508359158e-11,1.8029216214141155e-11,1.980917415617027e-11,3.1950148451014405e-11,3.1369949885467906e-10,1.4218130553338214e-11,0.004238879859152766,1.717471342952425e-11,0.558632182363718,2.3020099500027812e-11,0.3955851870968256,2.071785678695424e-11,0.06707525294346964,1.0253516602793062e-11,4.6676280568944214e-07,3.0099212171161526e-11,0.03754360394459221,2.7580356853085278e-11,0.005720329839996674,2.4308388613082852e-11,0.06382071027609942,1.4136197797118632e-11,0.0003764231970599615,2.2946761028234857e-11,1.2343930829115865e-05,3.04771879735071e-11,0.00015819579328415505,3.142382683398375e-11,0.005039133233603083,1.3124239072535195e-11,1.8631354355562043e-11,2.1245420361279136e-11,2.585000028079247e-11,2.079463578018079e-11
vDCRe_beta_SK11_CD4_EM_beta.p,0.0029905810261679393,12.137487349037146,7.599162776577298e-08,211.33665822915444,4.728126602462185e-06,1.0465099418769118e+17,4.1071322781747354e-08,5.56337037266347e-07,5.362074030157136e-07,23.405930319995004,441.75986119698473,0.0007213708229575089,0.0015364442592655262,4.308574034721414e-08,329.5139330182374,1.1649921254861831e-06,2.0894294880382004e-08,1.649122344637809e-08,1.2336899856428817e-08,1.676605051460034e-08,2.3699754670282273e-08,1.2361087857215486e-08,2.6280977464066523e-08,1.7726940710226192e-08,1.8939770203853347e-08,1.4733632678208122e-08,2.992662429795065e-08,1.3037883563994416e-08,2010.436854790286,1.159640740423151e-08,0.010294113915258356,1.8923386771079133e-08,33.22699603322149,1.857933677295901e-08,0.08121202891575749,4.644007107470288e-09,14.569453378725568,1.063552230012212e-08,69.89316071014028,1.4629499787958883e-08,0.016144149115640084,3.515027000047538e-08,0.10355106125354878,8.789381932681915e-09,0.00021019604553383544,9.429223345696458e-09,0.001035979578967173,2.5463869814855122e-08,5.038517082054427e-08,1.1411542367611973e-08,0.014970716496551571,1.806265460409931e-08,1.0469162219868053e-08,2.0685435987138923e-08,1.3963283759469932e-08,1.1229570642445677e-08
vDCRe_beta_SK11_CD4_EMRA.p,3.1386717859784337e-06,0.5130367050534711,0.007850372837449696,2.128962160281694e-08,7.174095008467873e-06,1.4455116681379736e-08,9655514151464168.0,0.48264974846308367,5.5594002900372894e-06,1.990877886493827,0.4755965819426378,4.840354272245494e-07,0.00020192664822748843,0.00048795172559248906,0.028972181838453282,0.009453746627016523,5.846727178346476e-09,1.1292467042107723e-08,7.4251216733909515e-09,5.782170804052959e-09,5.783635015478293e-09,5.555587350793482e-09,5.401975868212758e-09,7.924951650359167e-09,6.711096073903236e-09,1.094356631795182e-08,9.361005491828675e-09,4.316676144843328e-09,3.092335911474493e-06,4.393797268454118e-09,2.299342707945009e-05,4.035888908712772e-09,0.020620496576619345,8.321580288707271e-09,1.2266824786121417e-05,1.5962228868783264e-09,0.00021658639573231113,1.102322842854515e-08,0.003987927526674533,3.865753245031212e-09,1.4684868192837513e-06,9.572443987411542e-09,0.04532795032982,5.966105054968467e-09,3.4362817355321213e-06,3.821180624751927e-09,1967.6457184004564,7.80667997051404e-09,0.07501415011043103,5.252274433371077e-09,0.0001083107239023123,4.0064583811185025e-09,4.572819228631556e-09,7.505304282952388e-09,1.019547415491493e-08,9.640454406499522e-09
vDCRe_beta_SK11_CD4_CM_beta.p,0.018325578528647524,12.146170779714275,2.0547738055333658e-05,1.5787185202915182,493.84206699525697,4.4982194138926825e-06,0.13148100057517506,6514575384599.994,87.9923471850934,0.003108257338432147,0.5021739479217775,0.02925988929738595,0.26972484562507776,9.723139101112206,131.67569335648213,1.2080417581883183e-06,3.216061653952081e-10,2.9395909783018977e-10,3.6446661648679806e-10,4.712523515493467e-10,1.9918294780013833e-10,2.1518874177012363e-10,1.6306672613817108e-10,1.9111993496797589e-10,3.3801374008604955e-10,2.980543976269489e-10,3.1019322543959204e-10,2.0576013474263845e-10,1.899643415962623,3.273769235181558e-10,5.242907544652325,2.269620280179227e-10,0.10401775562192822,3.38230468589413e-10,66.35774401145646,1.7183092194190924e-10,0.017095980705748005,3.277280887973655e-10,3.1239987058567793e-06,4.1793279680422295e-10,3.842461746461446e-08,2.644082977143004e-10,0.12971807895199416,2.0044153305715987e-10,0.032676471323641224,1.9226420939395824e-10,0.0593752895126469,3.6123835330355663e-10,9.95488750575021e-10,3.989030885210951e-10,0.00011708930035973976,2.942826567146306e-10,3.581651513050535e-10,5.803004512640579e-10,2.7692010900935246e-10,2.6765300490380975e-10
vDCRe_beta_EG10_CD8_naive_beta.p,0.00011660152290439677,8.46237363333699,29.18855206945238,0.1386994301914172,0.00579090828378634,1.0034962228064125e-05,4.107594555795075e-05,11.030029654102213,18115318937.949253,3.86957387714094e-06,4.760891206417866,30.31275625279065,8.570857296462723,9.605257591976896,0.04720078186819792,0.2555671935131612,4.876920090821395e-09,3.035253081239537e-10,4.0416066845849974e-11,2.800167857597755e-11,2.0081977326277406e-11,3.092417477854147e-09,2.997731699741776e-11,1.938012196050348e-11,2.849330010919064e-10,3.0370212458072287e-11,8.696712285750047e-11,1.139171597621381e-10,0.005189969630361101,3.069626794301289e-11,0.02197892056934301,2.1448303807862533e-11,0.005999171259453534,2.1319959979338266e-11,0.0033308552413012335,1.487254370960981e-11,4.3120712414932027e-07,4.193415984570321e-11,9.949574905414542e-05,1.6360844350641e-10,0.38751723903087015,2.6153374551475505e-11,0.0011670133792360828,2.2200729776190966e-11,1.0382690725256868e-06,7.253243323443141e-11,0.44719682726926485,2.718936483099916e-11,4.7604031165632155e-05,3.521222675887782e-11,0.004860185921981531,1.8124448588463345e-11,5.992611778068978e-10,4.087874729913744e-11,4.871148317719097e-10,3.619930968285222e-07
vDCRe_beta_EG10_CD8_EM_beta.p,5.251309115044454e-05,0.0011867357863735973,4.563085877082154e-05,5.130061512321567e-05,628.4066909110062,910.6362597746713,63.30838385179135,0.0004550274399293085,1.936809182094006e-05,3.232897825773923e+24,19.16091615272905,0.12969713225385826,3.999155880390141e-05,0.0034021681645121605,81652.79511893031,4605.393354228474,1.2388466252003918e-05,8.887337645745081e-06,2.4090887835441455e-05,6.506454575493824e-05,1.5585084977422882e-05,5.5179405741496575e-05,7.723079958845547e-06,2.4267165299208796e-05,1.5199104363996838e-05,4.529747534798975e-05,2.0095978858433796e-05,2.2214086908686578e-05,48.258559546358214,1.8433421927697843e-05,193460774.27513677,1.4580211160567712e-05,8.4308894789619e-05,2.3599244295362218e-05,7.540026973203151e-05,3.651447453454554e-06,1626.037924095658,1.591632494610986e-05,983036.7404349553,4.1680677876540146e-06,1.5254657190063228e-05,1.5703722178005668e-05,72155.59710598928,5.355727847629174e-06,811.8784550257532,6.256885278660721e-06,0.03856288466561873,1.689055983710952e-05,7371.582408175917,2.6040117177471022e-05,177.10709523855755,1.8653878417935737e-05,1.017678895302871e-05,1.2112087919312864e-05,3.179418986819785e-05,2.725779818375844e-05
