file,vDCRe_beta_SK11_CD8_naive_beta.p,vDCRe_beta_SK11_CD8_EM_beta.p,vDCRe_beta_SK11_CD8_EMRA_beta.p,vDCRe_beta_SK11_CD8_CM_beta.p,vDCRe_beta_SK11_CD4_naive_beta.p,vDCRe_beta_SK11_CD4_EM_beta.p,vDCRe_beta_SK11_CD4_EMRA.p,vDCRe_beta_SK11_CD4_CM_beta.p,vDCRe_beta_EG10_CD8_naive_beta.p,vDCRe_beta_EG10_CD8_EM_beta.p,vDCRe_beta_EG10_CD8_EMRA_beta.p,vDCRe_beta_EG10_CD8_CM_beta.p,vDCRe_beta_EG10_CD4_naive_beta.p,vDCRe_beta_EG10_CD4_EM_beta.p,vDCRe_beta_EG10_CD4_EMRA_beta.p,vDCRe_beta_EG10_CD4_CM_beta.p,vDCRe_alpha_SK11_CD4_naive_alpha.p,vDCRe_alpha_SK11_CD4_EM_alpha.p,vDCRe_alpha_SK11_CD4_EMRA.p,vDCRe_alpha_SK11_CD4_CM_alpha.p,vDCRe_alpha_EG10_CD8_naive_alpha.p,vDCRe_alpha_EG10_CD8_EM_alpha.p,vDCRe_alpha_EG10_CD8_EMRA_alpha.p,vDCRe_alpha_EG10_CD8_CM_alpha.p,vDCRe_alpha_EG10_CD4_naive_alpha.p,vDCRe_alpha_EG10_CD4_EM_alpha.p,vDCRe_alpha_EG10_CD4_EMRA_alpha.p,vDCRe_alpha_EG10_CD4_CM_alpha.p,dcr_KS07_CD8_naive-3_beta.p,dcr_KS07_CD8_naive-3_alpha.p,dcr_KS07_CD8_naive-2_beta.p,dcr_KS07_CD8_naive-2_alpha.p,dcr_KS07_CD8_naive-1_beta.p,dcr_KS07_CD8_naive-1_alpha.p,dcr_KS07_CD8_EM_beta.p,dcr_KS07_CD8_EM_alpha.p,dcr_KS07_CD8_EMRA_beta.p,dcr_KS07_CD8_EMRA_alpha.p,dcr_KS07_CD8_CM_beta.p,dcr_KS07_CD8_CM_alpha.p,dcr_KS07_CD4_naive-4_beta.p,dcr_KS07_CD4_naive-4_alpha.p,dcr_KS07_CD4_naive-2_beta.p,dcr_KS07_CD4_naive-2_alpha.p,dcr_KS07_CD4_naive-1_beta.p,dcr_KS07_CD4_naive-1_alpha.p,dcr_KS07_CD4_EM_beta.p,dcr_KS07_CD4_EM_alpha.p,dcr_KS07_CD4_EMRA_beta.p,dcr_KS07_CD4_EMRA_alpha.p,dcr_KS07_CD4_CM_beta.p,dcr_KS07_CD4_CM_alpha.p,dcr_alpha_SK11_CD8_naive_alpha.p,dcr_alpha_SK11_CD8_EM_alpha.p,dcr_alpha_SK11_CD8_EMRA_alpha.p,dcr_alpha_SK11_CD8_CM_alpha.p
vDCRe_beta_SK11_CD8_naive_beta.p,1.446695440912042e-07,6.993327870341107e-16,1.4554370439320163e-17,2.4808627357620776e-16,2.563535454025917e-10,7.610555476013002e-19,2.265178672243525e-14,1.0682975392449074e-19,8.473804312447346e-20,4.239136678536395e-18,2.738022493096758e-18,1.6166102843814197e-15,8.515418735767058e-20,1.4580636807318914e-19,1.987547028867096e-18,6.602660699291967e-20,4.925879469334314e-20,8.16778553987126e-20,5.72094648483694e-20,9.925674923830777e-20,5.545734630054834e-20,6.868440461490516e-20,5.939476318964577e-20,7.205170925838433e-20,6.038794768857817e-20,7.013962605512099e-20,1.0779733067428704e-19,5.539877442030356e-20,4.504684319039367e-18,5.805080488781023e-20,2.240577129065198e-16,8.5256212185021e-20,1.217686727029617e-15,8.690652172872712e-20,2.9959272624359076e-16,5.739336977781468e-20,5.543949168519884e-15,7.310726143479246e-20,8.422226510755505e-19,8.081967705789979e-20,1.0327532762103752e-19,8.633207917760589e-20,7.961305821792528e-20,5.2790233187354965e-20,4.879643623340838e-17,5.62623494218484e-20,8.822407871312175e-20,6.450007497699024e-20,6.854668992572213e-11,5.019137111583988e-20,2.276074872837443e-18,5.252669758987943e-20,9.828521138262494e-20,5.591906699596473e-20,4.578050089291712e-20,7.310247338370838e-20
vDCRe_beta_SK11_CD8_EM_beta.p,6.071983772888227e-16,3.181876485887149e-07,5.662691437165706e-07,7.797234243357244e-17,1.1236073632900427e-12,3.2197285549162957e-19,1.2957713812130617e-19,1.3133713093625273e-09,3.905230191533126e-18,5.1118839861872326e-12,2.699932773182669e-15,2.008177633019061e-17,1.7916248167802287e-19,1.3091030037578057e-19,1.2134250333995812e-19,1.247141710563674e-19,1.2770686353510758e-19,1.1655764250285374e-19,1.4091207093792302e-19,1.0350093448459176e-19,1.39514325081748e-19,1.6023673692203462e-19,8.020740313194899e-20,8.367225648080083e-20,1.5142133578436189e-19,1.1186169875291826e-19,1.312704666939983e-19,1.177900035778325e-19,3.4457991055267186e-19,7.236609161523114e-20,1.0178890283936752e-11,1.3690353384949889e-19,1.207343655805291e-19,8.208460334110948e-20,3.9244960123055134e-16,1.338954695893807e-19,1.6652966449583047e-19,1.0828660997629811e-19,1.6118807030235569e-19,6.969869637899909e-20,1.203561373750377e-19,1.4167200010059715e-19,3.8719247053237435e-16,7.821717766082724e-20,9.449443570393608e-20,1.0054603086427581e-19,2.838349073971983e-16,1.3439081355768193e-19,7.804704531775697e-10,2.957340333606373e-17,4.808008420868221e-16,7.423557997527657e-20,8.656765016493561e-20,6.439331971807324e-20,7.188799480679507e-20,5.644885263235625e-20
vDCRe_beta_SK11_CD8_EMRA_beta.p,1.1144347566011934e-17,5.760319552538098e-07,3.294159654720885e-07,5.738203496837981e-07,5.262705562334686e-19,1.8734258145133905e-07,1.0978870283698574e-19,5.738203496836995e-07,1.1512159778118358e-19,2.1717576186926323e-19,9.03919574752511e-17,2.194142256672138e-18,2.1920292324554967e-19,8.178605772685928e-17,1.4103595467014197e-19,8.073438476485503e-16,9.682924983587919e-20,9.915414628180512e-20,1.031029477638139e-19,2.5710256095633014e-18,1.0279414154322088e-19,1.1907144690049532e-19,1.3567977607285334e-19,1.4114109840105443e-19,1.4846152654238008e-19,1.1514378941243149e-19,1.1877330377378288e-19,1.0419105087331341e-19,3.716181927125528e-19,7.100752001927539e-20,9.162408662050949e-13,1.3319022621562356e-19,3.209803632961175e-17,1.3885802568380486e-19,2.3183731139534126e-19,8.367987969577164e-20,7.408431121176096e-18,1.1135746448700499e-19,2.373963041375776e-19,1.0253324039492868e-19,1.2889124093093595e-18,9.840747326711884e-20,1.6149840364067928e-18,1.185632228214528e-19,1.33457212257023e-19,9.575422028279736e-20,1.5290426856442329e-12,8.84500544610623e-20,3.7211092951910514e-19,1.4914793866203955e-19,4.775726448148157e-16,7.431822268319556e-20,9.396646930636606e-20,8.619272041815578e-20,6.526273475998522e-20,1.1514048165625028e-19
vDCRe_beta_SK11_CD8_CM_beta.p,3.248259310676624e-16,1.269660993709741e-16,1.9609871376411594e-07,3.845470553990302e-08,3.840964390319487e-19,4.177925011383272e-20,1.8693353397933559e-19,4.0584163179672395e-19,3.929684096935373e-18,2.1934308473624704e-13,8.368814831488293e-12,1.2341163749882833e-15,1.7770361120577388e-19,4.154117560627304e-20,1.6520024643270344e-11,2.988268176473182e-11,3.340496429560802e-20,4.608468227584978e-20,2.856748523855801e-20,3.7080362924588824e-20,4.635139733043127e-20,3.213830202172568e-20,2.981184845759078e-20,2.4775885601714973e-20,3.057449306988146e-20,4.035233238354959e-20,3.6262065514610244e-20,2.069663682109493e-20,2.2024406735464172e-18,2.2693849005950373e-20,4.264378066534384e-13,3.101665667059146e-20,1.1100025600654222e-18,2.6557863343942084e-20,3.044702963805303e-18,2.737237073501204e-20,2.042987514268417e-13,3.2934205012939027e-20,1.6412185392937094e-13,3.383068098233504e-20,6.891416751505493e-20,3.944863522963756e-20,7.4693991221337e-10,3.301270986567555e-20,5.44104227788546e-20,5.39962493750476e-20,2.0687372085392574e-19,2.7935633869188695e-20,4.9874745307905946e-15,3.7298870827801345e-20,4.312278944078344e-20,2.972060224303531e-20,3.614697759159278e-20,2.268097601939789e-20,3.186716532068824e-20,2.2762431236975148e-20
vDCRe_beta_SK11_CD4_naive_beta.p,1.3882891429072732e-10,8.655580550150311e-13,1.3428403851789985e-18,5.365209711862014e-19,1.4386782472451762e-08,6.214724547666781e-19,1.6594915982843978e-19,1.4837338197694167e-19,6.967890798562873e-16,2.696855030658135e-20,7.313861601741105e-18,4.536535433759348e-16,1.7670348567886993e-08,2.031161529988466e-15,8.919790389717994e-16,1.0592109309832915e-17,1.6507798057168722e-20,1.8274790664299657e-20,2.924365910312287e-20,2.898560124197517e-20,2.272041627639022e-20,1.7615001407492762e-20,2.3919835746053938e-20,2.3510025002650688e-20,2.4405443717989087e-20,1.9230287693090426e-20,3.132061638725389e-20,1.7808771612149845e-20,3.8466064056459346e-20,1.565199193295524e-20,4.089144279492472e-20,2.2583770992165193e-20,4.046024151771842e-18,2.4938032672318785e-20,8.691368956145177e-20,2.593595388836875e-20,7.276240120253194e-20,2.3766904884138712e-20,4.1816291477957244e-16,2.0874395862395693e-20,4.026370194999231e-20,3.6343126656931464e-20,2.0548913934155308e-16,2.6348309008240175e-20,4.7764619329457135e-20,1.833251684205456e-20,2.8778633948491773e-14,1.7072855138414376e-20,1.228102252506987e-17,1.8634592391974363e-20,2.594377573027996e-10,1.8934768165443798e-20,2.606312268286864e-20,2.12223236020113e-20,1.9549595622384267e-20,1.2019418062863097e-20
vDCRe_beta_SK11_CD4_EM_beta.p,2.0159709292535232e-18,7.718638550322857e-19,3.525036840022376e-08,4.5198009028004624e-20,7.355336230488756e-19,9.054062452603042e-09,4.891235702783825e-19,2.115682990112777e-20,1.5177501289369312e-17,2.6238636110086055e-20,4.4943007931354747e-20,2.2710068971532934e-20,1.938544359994768e-19,3.014754916943911e-20,3.738811866104755e-20,1.9994714304645263e-18,1.5211353570069676e-20,1.1474522466048217e-20,1.6978769999845203e-20,1.729163980044195e-20,2.2563402235206567e-20,1.5856341786415353e-20,2.304830670478205e-20,1.60980720041626e-20,2.4846569014929838e-20,1.8355980946747255e-20,1.9981063119469357e-20,1.518454641668188e-20,8.19989699146301e-20,1.792181918576907e-20,2.284508776346034e-20,2.0884583610402944e-20,4.728403787487403e-18,2.2783551823460393e-20,3.576840250569787e-13,1.547982139909878e-20,1.6408303422559294e-17,1.925825048108928e-20,1.0249249451030795e-10,2.0247216577704332e-20,2.7943620756807103e-20,2.7369144851431875e-20,3.51097325576596e-19,1.0035086653969983e-20,1.577527177577993e-20,1.8071546804119888e-20,4.0770269601042347e-20,1.582918743408669e-20,3.232691317290545e-11,2.2592636536850575e-20,4.933624704711976e-20,8.63732069714586e-21,2.128063624333035e-20,1.4116831818329293e-20,1.4478161340660094e-20,1.3708566659331448e-20
vDCRe_beta_SK11_CD4_EMRA.p,2.4612677873913174e-14,2.323933588683061e-20,1.4305520552989525e-20,3.43809620132218e-19,2.3082162226559774e-19,5.870491948467613e-19,5.362310625185089e-09,3.4679744628866863e-16,4.155396424216112e-16,2.0241525418185496e-11,2.886329865097442e-20,9.031863574158456e-16,1.3149715646714653e-19,4.462465119640092e-16,2.7239681076506514e-16,3.124473348638158e-19,1.3225661239112573e-20,9.379932516035826e-21,1.030347801848451e-20,1.0392043494194883e-20,1.5849717306135778e-20,1.362981358674424e-20,1.073024023501311e-20,7.874357144289157e-21,1.3328946601101478e-20,1.0323505125638807e-20,1.1085286707120055e-20,9.537846581195804e-21,2.3546240332320985e-17,6.680616528254027e-21,3.5904859107193747e-20,1.2154865609991913e-20,8.333964357359695e-18,1.0786870908222815e-20,1.1646085520741397e-10,7.09066740833837e-21,2.2704794650064738e-20,5.905005804806748e-21,1.5098276671932338e-20,1.380728475857855e-20,1.7499139490940077e-20,1.732333994964844e-20,9.900502314237838e-16,1.1007195153891622e-20,1.3592394699632863e-15,1.5455622940245194e-20,1.7763063621592777e-20,8.660283730824765e-21,1.9385535017425607e-20,1.195695686972173e-20,2.0524456796113494e-19,1.0941475915814907e-20,1.4944628063991114e-20,1.2603001909766013e-20,9.166120195322995e-21,9.804368200511747e-21
vDCRe_beta_SK11_CD4_CM_beta.p,1.175395121525813e-19,7.295392215748371e-10,2.0034034292995298e-07,3.8502025820401557e-19,1.3741311188453466e-19,2.788645030533074e-20,2.5091189461315225e-16,4.013625300526284e-08,1.417237941993998e-14,1.849680668120631e-18,3.338138572941864e-20,7.464460693340229e-14,9.478788959963664e-20,3.329340746606921e-19,5.048748107546598e-20,2.422964478077151e-19,4.5505483223419753e-20,4.505177694591914e-20,3.6616854324126884e-20,3.586023907091446e-20,4.327815726638784e-20,3.9647652108989306e-20,3.6604464669337325e-20,3.270478253015974e-20,4.7030191456307876e-20,4.349173561940417e-20,3.755569066760903e-20,2.6931094241463935e-20,4.14329271958676e-20,3.352415781662355e-20,2.530833450515445e-16,4.8225377208885914e-20,2.6286233241136036e-18,4.700274863557069e-20,1.9880184120326427e-12,4.061484508652934e-20,2.3816515174234722e-17,2.98010735838492e-20,1.1802659578952703e-17,3.2586422932016444e-20,5.854494109513091e-20,5.44087731651053e-20,9.95837324135094e-17,3.595489861031341e-20,1.5219206502487866e-15,2.504943509064687e-20,1.8964302019934995e-17,3.12073091555292e-20,2.831339280385015e-19,2.777899409557468e-20,9.449722377420762e-17,2.752494814613876e-20,3.5448266909410156e-20,3.805530303528989e-20,2.1915795973480002e-20,3.732585792973382e-20
vDCRe_beta_EG10_CD8_naive_beta.p,7.28841427248299e-20,6.7429416443890236e-18,5.402442689413687e-20,3.52001540257814e-18,5.729127648069829e-16,9.22631543422416e-18,2.873867881818232e-16,1.3946314496140194e-14,5.477870596156077e-08,2.3404851220687081e-07,1.0393621580800489e-14,4.818504293948028e-19,9.010508979450561e-17,8.589188086713822e-20,4.480841039851363e-20,5.346860581899524e-15,4.5088639207877805e-20,5.1662090294668996e-20,3.42451066800472e-20,3.9537610879068346e-20,5.599816447928769e-20,4.905979027534337e-20,2.6598935273887244e-20,3.755356928270961e-20,4.515550610843589e-20,3.3629513617912615e-20,4.127078705839829e-20,5.0824942267245155e-20,6.957677516117663e-20,4.073569227058242e-20,2.9169212838079516e-13,5.661125024119896e-20,1.1864563609768842e-17,5.1758789138631954e-20,4.123278343478305e-16,5.0902848100001886e-20,3.5375285096466517e-13,4.193300031148023e-20,8.332000927332521e-11,4.189473557727801e-20,1.082589672146547e-16,5.927018641498967e-20,7.372096739375003e-20,4.570708708910841e-20,4.569724258902241e-19,4.078194286276305e-20,4.945098097397135e-19,5.53709291676383e-20,2.2331276521779034e-13,4.2464966256306227e-20,4.8455458276935534e-14,3.059254036398059e-20,5.655036980440262e-20,4.6171009130148976e-20,4.710024909217652e-20,3.344435943045197e-20
vDCRe_beta_EG10_CD8_EM_beta.p,4.868217203582541e-18,4.405366310938482e-12,2.5672117413788582e-19,2.2650413077909033e-13,6.500022770683015e-20,6.666998938925475e-20,3.7208297279988785e-11,1.3716067216351771e-18,3.047468687963688e-07,9.287153042726506e-08,6.14675771178683e-13,8.386682917059406e-19,1.0774161833112578e-17,7.212093486946349e-20,7.61665947168904e-20,8.457397757448005e-20,5.100305508445913e-20,4.7040639451903773e-20,7.044481001439988e-20,4.612422692974493e-20,5.988660876269029e-20,3.2954640534293155e-20,5.77776889444272e-20,4.216689680795568e-20,5.4091395616411504e-20,4.941855516364605e-20,5.908590583498794e-20,4.483825258033246e-20,9.906211112329064e-20,5.618558433699389e-20,8.61750037848531e-20,6.442814471353533e-20,2.4475156101831473e-13,8.018283175873963e-20,2.1078526903980962e-14,5.134399251138997e-20,6.916056950115875e-20,5.1349020387226884e-20,2.0835277872098216e-19,5.0081036617926115e-20,5.914788744014528e-20,8.294691954439026e-20,2.5236273231551237e-19,5.518871051857549e-20,6.546011909201261e-20,4.595238883992249e-20,8.853931324187388e-20,5.657244559945059e-20,9.548700482240825e-20,6.554312069797278e-20,1.4941208866541937e-15,2.9349432645853894e-20,7.337453770177267e-20,6.468284285852684e-20,3.607304657757164e-20,4.509027367703778e-20
