file,vDCRe_beta_SK11_CD8_naive_beta.p,vDCRe_beta_SK11_CD8_EM_beta.p,vDCRe_beta_SK11_CD8_EMRA_beta.p,vDCRe_beta_SK11_CD8_CM_beta.p,vDCRe_beta_SK11_CD4_naive_beta.p,vDCRe_beta_SK11_CD4_EM_beta.p,vDCRe_beta_SK11_CD4_EMRA.p,vDCRe_beta_SK11_CD4_CM_beta.p,vDCRe_beta_EG10_CD8_naive_beta.p,vDCRe_beta_EG10_CD8_EM_beta.p,vDCRe_beta_EG10_CD8_EMRA_beta.p,vDCRe_beta_EG10_CD8_CM_beta.p,vDCRe_beta_EG10_CD4_naive_beta.p,vDCRe_beta_EG10_CD4_EM_beta.p,vDCRe_beta_EG10_CD4_EMRA_beta.p,vDCRe_beta_EG10_CD4_CM_beta.p,vDCRe_alpha_SK11_CD4_naive_alpha.p,vDCRe_alpha_SK11_CD4_EM_alpha.p,vDCRe_alpha_SK11_CD4_EMRA.p,vDCRe_alpha_SK11_CD4_CM_alpha.p,vDCRe_alpha_EG10_CD8_naive_alpha.p,vDCRe_alpha_EG10_CD8_EM_alpha.p,vDCRe_alpha_EG10_CD8_EMRA_alpha.p,vDCRe_alpha_EG10_CD8_CM_alpha.p,vDCRe_alpha_EG10_CD4_naive_alpha.p,vDCRe_alpha_EG10_CD4_EM_alpha.p,vDCRe_alpha_EG10_CD4_EMRA_alpha.p,vDCRe_alpha_EG10_CD4_CM_alpha.p,dcr_KS07_CD8_naive-3_beta.p,dcr_KS07_CD8_naive-3_alpha.p,dcr_KS07_CD8_naive-2_beta.p,dcr_KS07_CD8_naive-2_alpha.p,dcr_KS07_CD8_naive-1_beta.p,dcr_KS07_CD8_naive-1_alpha.p,dcr_KS07_CD8_EM_beta.p,dcr_KS07_CD8_EM_alpha.p,dcr_KS07_CD8_EMRA_beta.p,dcr_KS07_CD8_EMRA_alpha.p,dcr_KS07_CD8_CM_beta.p,dcr_KS07_CD8_CM_alpha.p,dcr_KS07_CD4_naive-4_beta.p,dcr_KS07_CD4_naive-4_alpha.p,dcr_KS07_CD4_naive-2_beta.p,dcr_KS07_CD4_naive-2_alpha.p,dcr_KS07_CD4_naive-1_beta.p,dcr_KS07_CD4_naive-1_alpha.p,dcr_KS07_CD4_EM_beta.p,dcr_KS07_CD4_EM_alpha.p,dcr_KS07_CD4_EMRA_beta.p,dcr_KS07_CD4_EMRA_alpha.p,dcr_KS07_CD4_CM_beta.p,dcr_KS07_CD4_CM_alpha.p,dcr_alpha_SK11_CD8_naive_alpha.p,dcr_alpha_SK11_CD8_EM_alpha.p,dcr_alpha_SK11_CD8_EMRA_alpha.p,dcr_alpha_SK11_CD8_CM_alpha.p
vDCRe_beta_SK11_CD8_naive_beta.p,2.446656721875358e-07,1.170775464255032e-19,2.818650976287869e-19,1.788135588478273e-19,1.2788797197072725e-18,5.197718775618313e-19,3.9386326970445476e-19,1.6485551070175314e-19,2.3354831743626972e-19,1.4305918222709022e-19,2.9761134862521684e-18,8.193525557494586e-19,1.111037574649827e-19,6.695987861291494e-19,1.3739141385732943e-19,2.368835995483266e-18,9.405483209170682e-20,1.0916914882259484e-19,1.0186823332555591e-19,7.410900583717503e-20,6.440227709490165e-20,1.0742981954048819e-19,8.1615517358126e-20,6.51504263437964e-20,7.713006683984834e-20,1.049389314483118e-19,9.218525356825633e-20,7.824365552046518e-20,1.1337193843013542e-16,6.105737332302332e-20,8.583984797005538e-20,9.448928034185225e-20,9.966161862033578e-20,8.50574967660167e-20,1.5117786419070875e-19,1.1756089273077529e-19,2.246696008234632e-17,1.995823456043214e-19,4.362536400689854e-18,8.60983310241792e-20,8.219391146645194e-14,1.0410785656766527e-19,1.1588031020163616e-19,3.923600096756804e-20,9.585824204973383e-20,6.702772857775664e-20,1.3443641398479401e-17,6.409787763428656e-20,1.285927102691881e-19,8.425941320627682e-20,9.165476025277818e-20,9.328294914849535e-20,4.4011140652700735e-20,6.550769808377234e-20,9.568270776212851e-20,1.0726800724904182e-19
vDCRe_beta_SK11_CD8_EM_beta.p,8.293744096319677e-15,21284.971973840853,0.01650759329633855,2.875802111470208e-14,6.945997432068518e-15,1.5013011103039984e-14,2.3399313638937787e-14,1.3755032476529073e-14,7.985121619915214e-15,2.0536520123191408e-14,1.2241464249796154e-14,1.773192963877066e-14,8.187088216413223e-15,1.163495690351492e-14,1.0400574837515321e-14,1.9239361734316655e-14,9.154206073633576e-15,1.712496479674964e-14,1.0196113823403333e-14,1.5207183919005046e-14,2.678117452275613e-15,1.0311799292290876e-14,7.136733515975302e-15,1.77188117675855e-14,8.506174974337156e-15,1.1419121887547375e-14,8.46881349021785e-15,9.428453195983601e-15,6.561242214620532e-15,8.483530006686886e-15,8.436655647887155e-15,3.681042298926438e-15,9.63752158788766e-15,1.1408312087890742e-14,1.6122082455014824e-14,5.4738906421976925e-15,4.578586366320593e-15,2.0059955118679438e-14,1.898680978838848e-14,1.097078164994737e-14,5.630862057280379e-15,3.4375786721197485e-15,6.273317587328857e-15,1.8603057845635076e-14,1.0715611297680528e-14,1.1287177578760315e-14,7.0490617667973934e-15,6.391002076183618e-15,1.6298354260991475e-14,1.1356422099007776e-14,5.137815735509013e-15,1.253029425754323e-14,1.1574256511640312e-14,8.459072047118245e-15,5.100414331235823e-15,7.741724282143464e-15
vDCRe_beta_SK11_CD8_EMRA_beta.p,0.0003413012900949483,319504441.65246564,4.82685536208654e+25,39526647.74282085,0.000196210984964685,1.216921499747144e-05,6.9979719365160205e-06,3.341739071901596e-06,0.0006365003259295605,0.0004044904979844755,2.7973080162991383e-06,2.3285899685624304e-06,8.954403813258729e-05,0.00023653289904198693,3.246414904979585e-05,2.2497924015621663e-06,5.348428557825619e-06,2.2882002236073914e-05,4.42917965324389e-06,6.1676737538750446e-06,2.979512747653264e-06,1.892772502094762e-06,1.834053891871459e-06,7.285277739780425e-07,6.619657434516741e-07,9.576751941475338e-07,3.7198189065102032e-06,0.0003261859510963074,2.7242455960727634e-05,1.8392945592168963e-07,5.120386974703692e-07,8.93546556233787e-06,0.0005512771877736277,1.304713725454078e-06,0.00043409032208881855,0.00014895853794232453,5.946922051572428e-06,0.00039746734140665526,3.627544046097129e-05,8.782171491959284e-05,1.0846376680901815e-06,4.947165061960323e-06,5.095136166532124e-05,1.1147519146668648e-07,4.7032097319840866e-05,7.29941908724845e-07,0.00020481615559631467,7.944344655776709e-07,4.258335936473561e-05,2.9470736848409974e-06,8.197757005050279e-05,1.0370851506142369e-06,1.2750550245159908e-05,1.9059245569058824e-06,1.3194367254699933e-06,6.372583937692438e-05
vDCRe_beta_SK11_CD8_CM_beta.p,2.1331363234009567e-14,4.1606721125031837e-14,0.005073032708854137,364095.37585555104,5.779055543463371e-14,1.2354372606934782e-14,1.7772923487275286e-07,1.559302175349674e-14,7.048114944587646e-14,3.9891432286866967e-14,1.644730144685554e-14,2.90783314229858e-14,1.6347741581927806e-14,2.6989918185522982e-14,2.4166023188903692e-14,3.29642821771017e-14,2.8123062027330284e-14,1.6404278207458444e-14,1.0944242904376509e-14,1.403015127718806e-14,5.460586541074069e-15,8.809668994016235e-15,1.7943772384609888e-14,1.3853776885715276e-14,2.192090866392147e-14,8.22099673972913e-15,8.697537591727075e-15,8.446688619277793e-15,1.2043923733038715e-14,2.500451618041172e-14,1.0277380703357245e-14,1.3699945009270427e-14,2.7695799470338862e-14,3.823138617737557e-14,8.994212075825703e-15,1.2445936653119615e-14,1.3804406605894224e-14,2.6116291987226974e-14,1.4016908830970996e-14,1.9195609846002895e-14,1.5845973778828257e-14,5.850656204700208e-15,2.2805015899191305e-14,1.0853343273317155e-14,1.557549761348519e-14,1.1364715546292327e-14,5.902754725117395e-14,2.3778131147200962e-14,8.231368479796922e-15,2.6609816051819103e-14,2.4761834107177096e-14,8.902995452982136e-15,1.3776140577254311e-14,1.1852607922858125e-14,7.071289488081008e-14,6.556931581014071e-14
vDCRe_beta_SK11_CD4_naive_beta.p,1.352186300659081e-18,1.0511605807354028e-19,3.503256564270749e-19,1.1284960985979495e-19,1.3828470747786732e-07,1.730514546677901e-19,3.3712759842850283e-12,1.39406859495993e-19,7.739869727808423e-14,3.5590131922278646e-16,2.193525581768822e-19,5.286624706114991e-10,1.0463219928101543e-14,3.5339669779959965e-16,1.2872055082821159e-19,1.0768028384628993e-19,9.37192930546939e-20,8.331069965649475e-20,1.4543562723725046e-19,7.509292598852357e-20,6.698550964434158e-20,9.59876648175319e-20,1.200615344257316e-19,1.0230914850960322e-19,5.245278780977554e-20,1.1030805313407804e-19,8.385725621827863e-20,1.1465172511544754e-19,9.602425375536683e-16,5.1230470666638415e-20,1.5190412298274137e-15,6.406896278644988e-20,3.1430308174495643e-18,7.640914814950019e-20,7.067051800046736e-17,1.023872037973952e-19,1.6526717810708605e-19,1.611774522736318e-19,1.5003525456411272e-19,1.051815613303511e-19,1.0557221902508778e-19,9.103908976101006e-20,6.963303802445128e-20,6.950549940745526e-20,2.2125319113175349e-16,7.596354817120385e-20,1.1680513633666203e-19,8.296037343536831e-20,1.3157841678628303e-19,7.961093630579456e-20,1.5928166499380605e-19,9.619387901830654e-20,5.639524032759589e-20,9.554780939240747e-20,6.876319496352919e-20,1.0592645009136199e-19
vDCRe_beta_SK11_CD4_EM_beta.p,2.667820755923681e-16,1.0806467768420254e-16,3.655334787098971e-16,2.1366262663991765e-16,4.811916105465529e-17,1.5020634866838731,1.3653865051834935e-16,1.430554298101759e-16,9.6998258410695e-17,2.3365047716894863e-16,6.723971713135558e-17,1.687393993600161e-16,9.801452356317996e-17,1.7850535573037817e-16,3.693087304075896e-17,1.5047681102106886e-16,6.273659837223364e-17,5.967793886255647e-17,7.651485556178846e-17,7.418240622420979e-17,3.347033564574649e-17,1.1481706364008687e-16,7.270554143151851e-17,6.118993436376306e-17,4.9881460961436565e-17,1.2965684457963352e-16,6.628106600554762e-17,1.0408302268091591e-16,1.0918128010213179e-16,4.951289134984309e-17,1.4803065585501184e-16,5.2910746924289404e-17,1.1322126844108815e-16,8.605773652157434e-17,1.430084876818123e-16,3.520103837289196e-17,1.2861974609882228e-16,1.0677125417160312e-16,1.6760814564883757e-16,4.324038484202406e-17,8.133537178588838e-17,6.473971191532038e-17,1.2832769086793662e-16,7.443158499032073e-17,7.037434141232319e-17,1.1109008407755201e-16,5.542058878265132e-15,4.5261639105419656e-17,1.0712379668499532e-16,9.384539789322085e-17,6.426771898190833e-17,5.338773535283088e-17,5.5221629992057024e-17,5.554267290363228e-17,3.019223318548517e-16,1.5704501374296981e-16
vDCRe_beta_SK11_CD4_EMRA.p,2.923216178551936e-15,1.2409830504585565e-14,2.065648558927586e-14,1.0554081864551978e-07,5.293043166834852e-12,3.9018689966061e-15,6202.126274465788,2.3848541490084793e-15,5.4051360222374265e-15,4.7233674746534445e-15,5.804756667324454e-15,2.558600222013049e-15,2.5358910588298705e-15,1.022497627306777e-14,5.8527238368754335e-15,3.38286972584014e-15,2.9983480152643306e-15,9.235397025923665e-15,2.581502857171631e-15,2.925893861522495e-15,2.48425684214112e-15,3.671559427167607e-15,3.108686552583691e-15,1.7620118155096076e-15,3.559043559247905e-15,2.6395015027373143e-15,2.7792883590272826e-15,2.7680589344766165e-15,4.159114205714609e-15,1.686649127266756e-15,1.2211867270361004e-14,1.388586603927118e-15,2.548377957148659e-15,1.1962279060108632e-15,2.586459889096703e-15,4.2596894006165844e-15,1.1629619818016547e-14,1.4003655630290684e-14,5.6958337683658685e-15,4.6868424934550386e-15,4.093019512788695e-15,3.328399699540626e-15,1.5358222019381032e-15,2.4464432553254972e-15,2.9319828079268714e-15,2.4637734197088322e-15,6.6329829379154944e-15,5.143535902125835e-15,2.584073995027794e-15,1.4101870370628757e-15,9.113060768006963e-15,1.3508011782055205e-15,3.2682308076850176e-15,2.7330596490731282e-15,2.732692094413572e-15,5.041637359225356e-15
vDCRe_beta_SK11_CD4_CM_beta.p,1.7324995599652408e-19,1.5792816088757005e-17,3.2695900702876236e-14,1.2043407623311737e-19,1.12403701936999e-19,8.044424824527524e-20,1.0592338772710224e-16,8.122789881051727e-08,4.900092335290747e-17,2.9637423747599215e-19,3.248601627036511e-18,1.5153976663349876e-18,1.221729988774262e-16,7.883471156777766e-12,4.213251378370036e-19,5.768897565639519e-16,4.766782740640258e-20,6.864818738691179e-20,5.18304794008374e-20,5.139057154490748e-20,3.784823264785088e-20,6.339884068557785e-20,8.347125102025761e-20,6.860004829437584e-20,2.8039026978642443e-20,7.593787472962535e-20,6.646852542196692e-20,5.3363439863102255e-20,8.878515443539192e-10,4.179927184449127e-20,2.338136324096636e-18,3.754504098739379e-20,2.4662345383763552e-18,6.849604874296345e-20,2.7092195640958375e-17,1.0011758194906499e-19,7.068107100924888e-20,1.2102171072817477e-19,9.474703722048079e-20,6.565640428660345e-20,1.0322615445308696e-15,4.970454765904179e-20,5.876890977680335e-20,4.3839730556628955e-20,9.322103787353737e-20,3.858289729359829e-20,8.827220887606983e-20,5.96117440592571e-20,8.356931289779091e-20,5.420923434187782e-20,5.478000619035706e-20,4.67612756639196e-20,4.944168940596307e-20,7.2495676855252e-20,4.974693188929607e-20,8.137221327216882e-20
vDCRe_beta_EG10_CD8_naive_beta.p,2.555836868928739e-19,2.22287238094321e-19,4.051079710810201e-19,2.4159202006560093e-19,7.743194799922628e-14,1.9779465548388609e-19,2.3759671646819765e-18,4.1859818438167203e-17,1.3313485352572662e-07,1.1799126895598466e-16,5.598652410815497e-19,1.1836737047616789e-19,1.5947310689840086e-17,9.015167523384073e-14,2.997657121346427e-17,6.485395894886834e-17,5.913422650247417e-20,9.348807610851622e-20,9.813017356999806e-20,9.140322398566863e-20,7.584865143924501e-20,1.0315404712102555e-19,9.957753599206377e-20,7.831922180476374e-20,7.538958065521504e-20,9.77704970104626e-20,1.3100041726917354e-19,6.742064741619886e-20,1.7422704508536412e-19,4.823964301450306e-20,2.983811099802864e-19,9.199795765565308e-20,1.6042208444329588e-16,8.047504072798771e-20,1.1683397459113885e-19,1.0638907464313368e-19,1.945130984140884e-16,2.3907011861869333e-19,5.641359495448186e-16,7.734237792093324e-20,2.819542120082923e-18,9.652112793621839e-20,2.1717807436879245e-18,5.802282812793838e-20,9.387284319070772e-18,5.756172596503783e-20,4.5708856963975156e-15,6.720251080880227e-20,9.78499407539097e-12,1.1224197507424262e-19,9.549445316637613e-20,1.0790358808728415e-19,4.8793982613624634e-20,7.391793509173714e-20,1.1493408488165214e-19,1.2664069589245644e-19
vDCRe_beta_EG10_CD8_EM_beta.p,6.949211010274324e-08,7.718154668489005e-08,2.0484963463063816e-08,8.627812096070794e-09,1.5667172039192834e-09,2.819026468237383e-09,7.232812119057809e-09,5.178413356149995e-09,5.1110634556041484e-09,8.970002981006103e+18,43423.59964258628,14216.420908758855,6.619826237420148e-08,4.9928941598839735e-08,1.072616662667969e-08,2.328314961089468e-08,4.62093179546298e-09,2.9134120749502855e-07,4.676612903225758e-08,1.6346936615192293e-07,9.317295342046777e-09,3.5201310178560326e-09,5.469210323539209e-08,1.1090158844715256e-09,4.2429592948353214e-09,1.7773709057545736e-07,1.6228444772111236e-08,1.9353668636116987e-07,3.865595112934657e-09,1.3848872494478558e-09,6.553033601314574e-09,2.43835206731949e-09,2.0129432577806548e-07,8.331845457748689e-08,2.1110351637264468e-07,2.6725753474979772e-09,3.770023584557184e-08,8.841640545932485e-08,2.8064922959360486e-08,4.689559206713774e-09,1.232339556911468e-07,5.370091601457491e-09,2.6305902067987575e-08,3.118020628731044e-09,2.432156043316479e-07,3.1492839395079904e-09,8.70751268612051e-09,2.989755160704433e-09,2.704110868553242e-07,1.6443470393417107e-09,1.316370395750891e-08,4.690874599627082e-10,3.1142893529805445e-09,6.399314021345165e-09,1.6148490612710803e-09,1.291852118462428e-07
